매장명,주소,Unnamed: 2
금양중학교,부산 금정구 기찰로22번길 37,
금사중학교,부산 금정구 서금로 53-7,
구서여자중학교,부산 금정구 금강로453번길 26-12,
동래여자중학교,부산 금정구 체육공원로 20,
동현중학교,부산 금정구 서동로 50,
부산예술중학교,부산 금정구 체육공원로 20,
브니엘예술중학교,부산 금정구 체육공원로 154,
지진옥외대피장소 금사중학교,부산 금정구 서금로 53-7,
지진옥외대피장소 장전중학교,부산 금정구 금샘로18번길 39,
지진옥외대피장소 금정중학교,부산 금정구 중앙대로 2104,
지진실내구호소 동현중학교,부산 금정구 서동로 50,
지진실내구호소 남산중학교,부산 금정구 금단로 114,
지진옥외대피장소 동현중학교,부산 금정구 서동로 50,
지진실내구호소 구서여자중학교,부산 금정구 금강로453번길 26-12,
지진옥외대피장소 금양중학교,부산 금정구 기찰로22번길 37,
지진옥외대피장소 부곡여자중학교,부산 금정구 가마실로 56,
지진옥외대피장소 남산중학교,부산 금정구 금단로 114,
지진옥외대피장소 구서여자중학교,부산 금정구 금강로453번길 26-12,
지진옥외대피장소 부곡중학교,부산 금정구 동부곡로15번길 102-20,
지진실내구호소 부곡중학교,부산 금정구 동부곡로15번길 102-20,
기장중학교,부산 기장군 기장읍 읍내로 120,
부산중앙중학교,부산 기장군 정관읍 정관덕산길 73,
일광중학교,부산 기장군 일광읍 해빛3로 99,
대청중학교,부산 기장군 기장읍 차성서로 3,
모전중학교,부산 기장군 정관읍 정관1로 9,
신정중학교,부산 기장군 정관읍 정관3로 44,
정관중학교,부산 기장군 정관읍 정관로 531,
장안중학교,부산 기장군 장안읍 좌천2길 43,
지진실내구호소 부산 중앙중학교,부산 기장군 정관읍 정관덕산길 73,
지진옥외대피장소 일광중학교,부산 기장군 일광읍 해빛3로 99,
지진실내구호소 대청중학교,부산 기장군 기장읍 차성서로 3,
지진옥외대피장소 정관중학교,부산 기장군 정관읍 정관로 531,
지진옥외대피장소 기장중학교,부산 기장군 기장읍 읍내로 120,
지진실내구호소 기장중학교,부산 기장군 기장읍 읍내로 120,
