매장명,주소
만덕고등학교,부산 북구 함박봉로140번길 98-12
화명고등학교,부산 북구 화명신도시로 169
삼정고등학교,부산 북구 시랑로118번길 53
금명여자고등학교,부산 북구 양달로 101
지진옥외대피장소 낙동고등학교,부산 북구 의성로47번길 23
지진옥외대피장소 만덕고등학교,부산 북구 함박봉로140번길 98-12
지진옥외대피장소 화명고등학교,부산 북구 화명신도시로 169
지진옥외대피장소 금명여자고등학교,부산 북구 양달로 101
지진옥외대피장소 부산백양고등학교,부산 북구 백양대로1016번길 64
지진옥외대피장소 금곡고등학교,부산 북구 화명신도시로 236
주례여자고등학교,부산 사상구 가야대로366번길 146
서부산공업고등학교,부산 사상구 백양대로768번길 115
구덕고등학교,부산 사상구 학감대로 81
사상고등학교,부산 사상구 강선로 24
대덕여자고등학교,부산 사상구 백양대로804번길 42-55
부산조리고등학교,부산 사상구 낙동대로1390번길 65
지진옥외대피장소 구덕고등학교,부산 사상구 학감대로 81
지진옥외대피장소 서부산공업고등학교,부산 사상구 백양대로768번길 115
지진옥외대피장소 부산조리고등학교,부산 사상구 낙동대로1390번길 65
지진옥외대피장소 주례여자고등학교,부산 사상구 가야대로366번길 146
지진옥외대피장소 대덕여자고등학교,부산 사상구 덕포동 산 8-41
지진옥외대피장소 사상고등학교,부산 사상구 강선로 24
삼성여자고등학교,부산 사하구 감천로43번길 45
동아고등학교,부산 사하구 괴정로244번길 63
부산일과학고등학교,부산 사하구 제석로 242
부산여자고등학교,부산 사하구 낙동대로520번길 36
부일외국어고등학교,부산 사하구 감천로73번길 36
부산자동차고등학교,부산 사하구 하신중앙로3번나길 16
대동고등학교,부산 사하구 을숙도대로709번길 27
동아공업고등학교,부산 사하구 괴정로260번길 79
부경보건고등학교,부산 사하구 두송로 53
다대고등학교,부산 사하구 다대낙조2길 199
해동고등학교,부산 사하구 사하로141번나길 11-15
건국고등학교,부산 사하구 승학로17번길 76-8
부일전자디자인고등학교,부산 사하구 감천로73번길 36
성일여자고등학교,부산 사하구 다대로 161
국제금융고등학교,부산 사하구 하신중앙로3번길 34
대광고등학교,부산 사하구 동매로 135
부경보건고등학교 병설 부경중고등학교,부산 사하구 두송로 40
지진옥외대피장소 성일여자고등학교,부산 사하구 다대로 153
공중전화 부일외국어고등학교,부산 사하구 감천로73번길 36
지진옥외대피장소 동아공업고등학교,부산 사하구 괴정로260번길 79
지진옥외대피장소 다대고등학교,부산 사하구 다대낙조2길 199
지진옥외대피장소 해동고등학교,부산 사하구 사하로141번나길 11-15
지진실내구호소 다대고등학교,부산 사하구 다대낙조2길 199
지진실내구호소 부산자동차고등학교,부산 사하구 하신중앙로3번나길 16
지진옥외대피장소 삼성여자고등학교,부산 사하구 감천로43번길 45
지진옥외대피장소 동아고등학교,부산 사하구 괴정로244번길 63
지진옥외대피장소 부산여자고등학교,부산 사하구 낙동대로520번길 36
지진옥외대피장소 부일외국어고등학교,부산 사하구 감천로73번길 36
지진옥외대피장소 건국고등학교,부산 사하구 승학로17번길 76-8
지진옥외대피장소 대동고등학교,부산 사하구 을숙도대로709번길 27
지진옥외대피장소 부산일과학고등학교,부산 사하구 제석로 242
지진옥외대피장소 부산자동차고등학교,부산 사하구 하신중앙로3번나길 16
부산서여자고등학교,부산 서구 보수대로 202-6
부경고등학교,부산 서구 망양로33번길 12
경남고등학교,부산 서구 망양로111번길 65
부산관광고등학교,부산 서구 천마로 52
경성전자고등학교,부산 서구 꽃마을로 25
공중전화 경남고등학교,부산 서구 망양로111번길 65
지진옥외대피장소 부산관광고등학교,부산 서구 천마로 52
지진옥외대피장소 부산서여자고등학교,부산 서구 보수대로 202-6
지진옥외대피장소 경남고등학교,부산 서구 망양로111번길 65
지진옥외대피장소 부경고등학교,부산 서구 망양로33번길 12
부산여자상업고등학교,부산 수영구 금련로 43
부산남일고등학교,부산 수영구 망미배산로48번길 85-23
부산동여자고등학교,부산 수영구 남천서로32번길 39
