매장명,주소
보성중학교,서울 송파구 양재대로 1278
보인중학교,서울 송파구 오금로49길 18
봉림중학교,서울 관악구 장군봉길 72
봉영여자중학교,서울 양천구 목동동로2길 68
봉원중학교,서울 관악구 관악로24가길 15
봉은중학교,서울 강남구 영동대로128길 59
봉화중학교,서울 중랑구 망우로70길 89
북서울중학교,서울 도봉구 도봉로169가길 33
북악중학교,서울 성북구 정릉로12길 41
불광중학교,서울 은평구 불광로 180
불암중학교,서울 노원구 한글비석로5길 45
사당중학교,서울 동작구 사당로9가길 58
삼각산중학교,서울 강북구 삼양로19길 141
삼선중학교,서울 성북구 동소문로3길 69
삼성중학교,서울 관악구 신림로3가길 39-24
삼정중학교,서울 강서구 금낭화로 210
상경중학교,서울 노원구 동일로227길 61
상계제일중학교,서울 노원구 덕릉로86길 29-15
상계중학교,서울 노원구 노원로 398
상도중학교,서울 동작구 사당로2가길 72
상명대학교 사범대학부속여자중학교,서울 종로구 홍지문2길 20
상명중학교,서울 노원구 덕릉로 553
상봉중학교,서울 중랑구 상봉중앙로8나길 28
상신중학교,서울 은평구 증산로15길 61
상암중학교,서울 마포구 상암산로1길 26
상원중학교,서울 노원구 수락산로 182
상일중학교,서울 강동구 천호대로219길 61
상현중학교,서울 동작구 사당로2길 2-19
서라벌중학교,서울 강북구 삼양로155길 37-9
서문여자중학교,서울 서초구 동광로12길 84
서연중학교,서울 서대문구 연희로11마길 9-6
서운중학교,서울 서초구 서운로 115
서울대학교 사범대학 부설여자중학교,서울 종로구 대학로 64
서울대학교사범대학 부설중학교,서울 성북구 월곡로 36
서울문영여자중학교,서울 관악구 관악로 85
서울성수중학교,서울 성동구 서울숲길 18
서울여자중학교,서울 마포구 백범로25길 34
서울용곡중학교,서울 광진구 용마산로22길 76
서울체육중학교,서울 송파구 강동대로 232
서일중학교,서울 서초구 서운로21길 2
서초중학교,서울 서초구 반포대로13길 48
석관중학교,서울 성북구 한천로 526
석촌중학교,서울 송파구 송이로15길 13
선덕중학교,서울 도봉구 시루봉로 53
선린중학교,서울 용산구 원효로97길 33-4
선유중학교,서울 영등포구 선유로 213
선일여자중학교,서울 은평구 갈현로29길 27
선정중학교,서울 은평구 서오릉로20길 19
선화예술중학교,서울 광진구 천호대로 664
성남중학교,서울 동작구 대방동길 74
성내중학교,서울 강동구 성안로7길 36
성덕여자중학교,서울 강동구 구천면로 396
성보중학교,서울 관악구 남부순환로156길 39
성사중학교,서울 마포구 모래내로9길 16
성산중학교,서울 마포구 성지1길 32-13
성서중학교,서울 마포구 성산로4길 42
성신여자중학교,서울 성북구 북악산로 918
성심여자중학교,서울 용산구 원효로19길 49
성암여자중학교,서울 강북구 도봉로29길 52
성원중학교,서울 성동구 성덕정9가길 13
성일중학교,서울 동대문구 왕산로23길 55
성재중학교,서울 강서구 허준로 36
세곡중학교,서울 강남구 자곡로 81
세륜중학교,서울 송파구 양재대로72길 41
세일중학교,서울 금천구 시흥대로147길 34
세화여자중학교,서울 서초구 신반포로 56-7
솔샘중학교,서울 강북구 인수봉로 39
송곡여자중학교,서울 중랑구 양원역로 67
송례중학교,서울 송파구 위례순환로 429
송정중학교,서울 강서구 남부순환로 121
송파중학교,서울 송파구 동남로 203
수락중학교,서울 노원구 동일로 1729
수명중학교,서울 강서구 수명로2길 16
수서중학교,서울 강남구 광평로59길 57
수송중학교,서울 강북구 한천로122길 21
수유중학교,서울 강북구 인수봉로37길 40
숙명여자중학교,서울 강남구 남부순환로 2807
숭곡중학교,서울 성북구 종암로 208
숭문중학교,서울 마포구 숭문길 99
숭실중학교,서울 은평구 은평터널로7길 6
숭의여자중학교,서울 동작구 여의대방로36길 79
숭인중학교,서울 동대문구 천호대로47길 34
시흥중학교,서울 금천구 시흥대로38길 60
신관중학교,서울 관악구 신림로48길 17-16
신광여자중학교,서울 용산구 청파로 263
신구중학교,서울 강남구 압구정로36길 17
신길중학교,서울 영등포구 신길로28길 43
신남중학교,서울 양천구 중앙로29길 109
신도림중학교,서울 구로구 경인로63길 74
신도봉중학교,서울 도봉구 도봉로115길 16
신도중학교,서울 은평구 진관1로 77-30
신동중학교,서울 서초구 나루터로 27
신림중학교,서울 관악구 신림로 40
신명중학교,서울 강동구 명일로24길 25
신목중학교,서울 양천구 목동중앙로 88
신반포중학교,서울 서초구 신반포로19길 26
신방학중학교,서울 도봉구 시루봉로 156
신사중학교,서울 강남구 압구정로 123
신상중학교,서울 노원구 동일로216길 42
신서중학교,서울 양천구 중앙로 206
신수중학교,서울 마포구 신수로 49
신암중학교,서울 강동구 고덕로 65
신양중학교,서울 광진구 자양강변길 73
신연중학교,서울 서대문구 모래내로 408
신원중학교,서울 양천구 가로공원로55길 19
신월중학교,서울 양천구 남부순환로29길 25
신일중학교,서울 강북구 솔매로49길 20
신정여자중학교,서울 강서구 등촌로13아길 20
신창중학교,서울 노원구 월계로45길 92
신천중학교,서울 송파구 백제고분로 11
신현중학교,서울 중랑구 봉화산로 162
신화중학교,서울 양천구 남부순환로29길 35
쏘카존 공항중학교,서울 강서구 방화대로 241
쏘카존 난우중학교,서울 관악구 난곡로16길 32
아주중학교,서울 송파구 올림픽로4길 69
아현중학교,서울 마포구 마포대로 247
아현중학교부설방송통신중학교,서울 마포구 마포대로 247
안천중학교,서울 금천구 한내로 69-44
압구정중학교,서울 강남구 압구정로 225
양강중학교,서울 양천구 중앙로 319
양동중학교,서울 양천구 목동중앙북로 49
양서중학교,서울 양천구 남부순환로 380
양정중학교,서울 양천구 안양천로 1039
양진중학교,서울 광진구 워커힐로 32
양천중학교,서울 양천구 지양로7길 32
양화중학교,서울 영등포구 당산로 56
언남중학교,서울 서초구 동산로 55
언북중학교,서울 강남구 도산대로38길 27
언주중학교,서울 강남구 선릉로116길 57
여의도중학교,서울 영등포구 국제금융로7길 46
역삼중학교,서울 강남구 도곡로43길 10
연북중학교,서울 서대문구 연희로36길 32
연서중학교,서울 은평구 증산서길 125-6
연신중학교,서울 은평구 연서로33길 16-32
연천중학교,서울 은평구 연서로41길 30
연희중학교,서울 서대문구 증가로 170
염경중학교,서울 강서구 양천로69길 35
염광중학교,서울 노원구 월계로45가길 9
염창중학교,서울 강서구 양천로67가길 83
영남중학교,서울 영등포구 대림로31나길 17
영도중학교,서울 양천구 목동중앙남로 27
영동중학교,서울 서초구 성촌길 14
영등포중학교,서울 동작구 등용로8길 5
영락중학교,서울 은평구 백련산로 134-6
영란여자중학교,서울 중랑구 망우로73길 56
영림중학교,서울 구로구 가마산로27길 17
영서중학교,서울 구로구 도림로20길 35
영원중학교,서울 영등포구 영등포로62길 31
영파여자중학교,서울 송파구 올림픽로 565
영훈국제중학교,서울 강북구 도봉로13가길 19
예일여자중학교,서울 은평구 연서로 117
오금중학교,서울 송파구 오금로35길 20
오남중학교,서울 구로구 오리로9길 25
오류중학교,서울 구로구 고척로27바길 19
오륜중학교,서울 송파구 양재대로 1242
오산중학교,서울 용산구 보광로7길 17
오주중학교,서울 송파구 동남로 281
옥정중학교,서울 성동구 한림말길 11
온곡중학교,서울 노원구 노원로 492
용강중학교,서울 용산구 이촌로65가길 91
용마중학교,서울 중랑구 면목로28길 18
용문중학교,서울 성북구 고려대로17가길 46
용산중학교,서울 용산구 두텁바위로 74
우신중학교,서울 구로구 부일로 917
원묵중학교,서울 중랑구 신내로23길 57
원촌중학교,서울 서초구 사평대로45길 10
월계중학교,서울 노원구 월계로45가길 54
월곡중학교,서울 성북구 장월로 6
월촌중학교,서울 양천구 목동서로 31
위례솔중학교,서울 송파구 위례북로2길 10
윤중중학교,서울 영등포구 여의동로3길 3
은성중학교,서울 강남구 남부순환로359길 36
은평중학교,서울 은평구 갈현로17나길 12-1
을지중학교,서울 노원구 덕릉로 580
이수중학교,서울 서초구 방배중앙로3길 32
이화여자대학교사범대학부속이화금란중학교,서울 서대문구 성산로 520
인수중학교,서울 강북구 인수봉로75길 10
인왕중학교,서울 서대문구 세검정로4길 69
인창중학교,서울 서대문구 경기대로 65
인헌중학교,서울 관악구 인헌9길 35
일신여자중학교,서울 송파구 송파대로38길 8
자양중학교,서울 광진구 뚝섬로41길 33
잠신중학교,서울 송파구 잠실로 12
잠실중학교,서울 송파구 올림픽로35길 130
장승중학교,서울 동작구 장승배기로10가길 25
장안중학교,서울 중랑구 동일로 780
장원중학교,서울 중구 동호로15길 93-34
장위중학교,서울 성북구 장위로4길 70
장충중학교,서울 중구 동호로15길 93
장평중학교,서울 동대문구 답십리로72길 158
재현중학교,서울 노원구 덕릉로82길 64
