시설물개수,인구밀도,하천,자동차등록대수,자전거도로,지하철_총승객수,학교개수,영화관개수,대학교개수,강,행정동명
0.42424242424242425,0.40907135255089333,0.0,0.8392247350911012,1.0,0.03275652963836466,0.7058823529411764,0.0,0.0,0.0,길동
0.6363636363636365,0.4234505559203822,0.0,0.6042663126533894,0.7269805801197836,0.0,0.1764705882352941,0.0,0.2,1.0,천호2동
0.24242424242424243,0.26679649464459587,0.0,0.5886417510066834,0.708824989642938,0.0,0.29411764705882354,0.0,0.0,0.0,강일동
0.24242424242424243,0.7125065102692422,0.0,0.32096940140875274,0.39779230227513196,0.04090406297518481,0.23529411764705882,0.25,0.0,0.0,성내1동
0.15151515151515152,0.496524082335092,0.0,0.41001719901256495,0.5012649840237946,0.04030475679328306,0.23529411764705882,0.0,0.0,0.0,둔촌2동
0.5454545454545454,0.10110731188152443,0.0,0.6234903544306651,0.5741042982906084,0.03842650900360621,0.11764705882352941,0.25,0.0,0.0,가양1동
0.9090909090909092,0.21466905187835417,0.0,0.6621336506205524,0.6094356355502627,0.14121645693157148,1.0,0.0,0.0,0.0,발산1동
0.2121212121212121,0.0,0.0,0.5528330319831509,0.5095027269063558,0.07897291558301266,0.3529411764705882,0.0,0.0,0.0,공항동
0.5757575757575757,0.591200380426168,0.0,0.798321932790258,0.7339517760631696,0.027338719365004684,0.5294117647058824,0.0,0.0,0.0,방화1동
0.4848484848484848,0.6496003260795725,0.0,0.798980742438046,0.734554121705201,0.0,0.058823529411764705,0.0,0.0,0.0,우장산동
0.30303030303030304,0.819795747378909,0.0,0.4306238645412027,0.39776760817072343,0.02828023401115179,0.058823529411764705,0.25,0.0,0.0,등촌1동
0.24242424242424243,0.47732161862276673,1.0,0.7731430560145442,0.710930878095386,0.0,0.23529411764705882,0.0,0.0,1.0,염창동
0.6060606060606062,0.7962002672040942,0.0,0.5342628384125078,0.4925241087852509,0.08462891824829578,0.8235294117647058,0.25,0.0,0.0,등촌3동
0.27272727272727276,0.018138176218835622,0.0,0.3972716321380323,0.36727385947368507,0.47388221893794297,0.11764705882352941,0.25,0.0,0.0,방화2동
0.5757575757575757,1.0,0.0,1.0,0.9183448392659637,0.33740202425281113,0.1764705882352941,0.25,0.0,0.0,화곡1동
0.27272727272727276,0.2503792939471479,0.0,0.20232577494232099,0.18903601598582007,0.0,0.1764705882352941,0.0,0.0,1.0,가양2동
0.12121212121212122,0.4517560743642581,0.0,0.43704725744074957,0.4036404782840203,0.0,0.058823529411764705,0.0,0.0,0.0,화곡6동
0.5151515151515151,0.9368447272480243,0.0,0.25406890276937366,0.1093665549388208,0.3072193406925808,0.0,0.25,0.0,0.0,신림동
0.24242424242424243,0.46425579130907363,0.0,0.37371305571831703,0.4636543341080712,0.4275440150189204,0.1764705882352941,0.25,0.2,0.0,화양동
0.15151515151515152,0.8377301238649487,0.0,0.29982339647074085,0.3770566204824858,0.0,0.058823529411764705,0.0,0.0,0.0,자양1동
0.12121212121212122,0.5942120875885963,1.0,0.27980070122191547,0.3535902838349584,0.1015221876801569,0.0,0.25,0.2,0.0,군자동
0.15151515151515152,0.46126672856140033,0.0,0.3868249641245093,0.47902131925906544,0.04757521542692235,0.11764705882352941,0.25,0.0,1.0,자양3동
0.15151515151515152,0.26247141142637165,0.0,0.32591203899687304,0.4076321681675237,0.0,0.47058823529411764,0.0,0.0,1.0,자양2동
0.3333333333333333,0.5669482122234552,0.0,0.3966588954445007,0.4905465579498267,0.0,0.11764705882352941,0.25,0.0,0.0,구의3동
0.45454545454545453,0.6333869251149205,0.0,0.5683609873354064,0.16452048588820206,0.5015769027824152,0.23529411764705882,0.5,0.0,0.0,구로5동
0.24242424242424243,0.4922669323611331,1.0,0.6587384705063403,0.16452048588820206,0.005319826250493507,0.29411764705882354,0.25,0.0,0.0,신도림동
0.2121212121212121,0.4918140440660311,0.0,0.4309863902077202,0.16452048588820206,0.28792869940995525,0.1764705882352941,0.0,0.0,0.0,구로3동
0.6060606060606062,0.2082153936731505,0.0,0.7078522007004393,0.16452048588820206,0.09205503318252474,0.47058823529411764,0.0,0.0,0.0,오류2동
0.45454545454545453,0.17431670478476485,1.0,0.5195887755674958,0.07443178946685536,0.5299666699842939,0.0,0.5,0.0,0.0,가산동
0.8484848484848486,0.45100880867733967,1.0,0.996662800360206,0.19070307908527503,0.0,0.4117647058823529,0.25,0.0,0.0,독산1동
0.24242424242424243,0.08810941781209665,1.0,0.5804402640938195,0.38224178878607606,0.052373563645808946,0.23529411764705882,0.0,0.0,0.0,상계1동
0.09090909090909091,0.8909444985394352,0.0,0.3825480667318224,0.24673807151558383,0.0,0.23529411764705882,0.0,0.0,0.0,중계1동
0.42424242424242425,0.07680985484930143,0.0,0.6625838636513086,0.4384883880781848,0.044808564450940426,0.3529411764705882,0.25,0.4,0.0,공릉2동
0.36363636363636365,0.5327551459432531,1.0,0.5686302569387234,0.3741550634214593,0.12361993880706512,0.4117647058823529,0.25,0.0,0.0,공릉1동
0.42424242424242425,0.7783791127918299,0.0,0.503929668919872,0.329852305139562,0.0560668698290348,0.11764705882352941,0.25,0.0,0.0,중계2.3동
0.24242424242424243,0.3568306877108761,0.0,0.2948065586946166,0.18665838834230533,0.07139489598870918,0.1764705882352941,0.0,0.2,0.0,월계1동
1.0,0.5892756051719844,1.0,0.4784319867069248,0.3123931491491343,0.0,0.5882352941176471,0.5,0.2,0.0,상계6.7동
0.24242424242424243,0.6642512624261226,0.0,0.2605698222693279,0.16321529596455955,0.3309255892999682,0.23529411764705882,0.0,0.0,0.0,상계2동
