학교이름,행정동명
광안중학교,망미1동
덕문여자고등학교,망미1동
덕포초등학교,덕포2동
삼덕초등학교,덕포2동
12,좌3동
123,좌1동
망미중학교,망미1동
12,양정2동
22,좌1동
서부산공업고등학교,덕포2동
부산산업학교,덕포2동
망미초등학교,망미2동
23,좌1동
12,초읍동
28,좌3동
27,좌1동
배산초등학교,망미1동
부산남일고등학교,망미1동
ㅇㅇ,거제4동
15,재송1동
모덕초등학교,덕포2동
덕상초등학교,덕포2동
3,연산6동
8,좌4동
21,좌4동
fd,연산6동
연제중,연산6동
11,재송1동
대덕여자고등학교,덕포2동
10,초읍동
sds,연산9동
ㄹ,연산9동
14,초읍동
10,초읍동
32,재송1동
6,거제4동
12,초읍동
연산초,초읍동
모동초등학교,모라3동
모동중학교,모라3동
부산조리고등학교,삼락동
sfdfe,거제4동
1,거제4동
모산초등학교,모라3동
연제초,연산5동
ㅈㅇㄹ,연산9동
ㅇㄹㄴ,연산9동
32,연산9동
ㄴㅇ,연산9동
ㄹㅇ,연산1동
sddsf,연산1동
3,재송1동
ㄴㄹㅇ,연산9동
거제여자중학교?,거제2동
2,재송2동
모라초등학교,모라1동
27,재송2동
20,재송2동
6,재송1동
ㄴㄹㅇ,연산1동
ㅇㄹㅇ,연산1동
창신초,거제2동
남일중학교,안락2동 
21,재송2동
안진초등학교,안락2동 
안남초,안락2동 
주양초등학교,모라1동
모라중학교,모라1동
주감중학교,모라1동
삼정고등학교,구포3동
ㄹㄴ,거제1동
ㅌㅌㅇ,거제1동
3,거제1동
구포중학교,구포2동
여명중,사직3동 
성도고등학교,구포3동
달북,사직2동 
fds,거제1동
예원초,사직1동 
사직여자중학교,사직1동 
해운대구초등학교,반여1동
13,반여1동
사직여자고등학교?,사직2동 
안락중학교,수민동 
부산중앙여자고등학교,수민동 
구남중학교,구포2동
부산백양고등학교,구포2동
wef,거제1동
동인고등학교?,사직2동 
여고초,사직3동 
사직중,사직2동 
낙민초,수민동 
구남초등학교,구포2동
25,반여3동
금강초,사직1동 
충렬초,명장1동 
동래고,복산동 
사직초,사직2동 
혜화초등학교,명장1동 
혜화여자고,명장1동 
20,반여1동
25,반여1동
24,반여1동
123,반여1동
안락초등학교?,명장1동 
포천초등학교,구포3동
16,반여1동
충렬고등학교,명장1동 
신천초등학교,구포3동
사직고등학교?,사직2동 
충렬중학교,명장1동 
신덕초등학교,만덕2동
신덕중학교,만덕2동
구포초등학교,구포2동
