시설물개수,인구밀도,하천,자동차등록대수,자전거도로,지하철_총승객수,학교개수,영화관개수,대학교개수,강,행정동명
0.18181818181818182,0.7583099544647538,0.0,0.40919395150285076,0.12623123266711295,0.2619936191877777,0.3571428571428571,0.0,0.5,0.0,거제1동
0.16666666666666669,0.16280756495752194,0.0,0.40919395150285076,0.12623123266711295,0.07126662214045504,0.14285714285714285,0.14285714285714285,0.0,0.0,거제2동
0.015151515151515152,0.3680183472975595,0.0,0.40919395150285076,0.12623123266711295,0.0,0.0,0.0,0.0,0.0,거제3동
0.045454545454545456,0.2655022016076434,0.0,0.40919395150285076,0.12623123266711295,0.0,0.2857142857142857,0.0,0.0,0.0,거제4동
0.10606060606060606,0.4580866624679494,0.0,0.40919395150285076,0.12623123266711295,0.0,0.2857142857142857,0.0,0.0,0.0,연산1동
0.10606060606060606,0.32090690468460825,0.0,0.40919395150285076,0.12623123266711295,0.0,0.0,0.0,0.0,0.0,연산2동
0.0,0.43719632749435416,0.0,0.40919395150285076,0.12623123266711295,0.06001284981414261,0.2857142857142857,0.0,0.0,0.0,연산3동
0.42424242424242425,0.40666905744137566,0.0,0.40919395150285076,0.12623123266711295,0.0,0.0,0.0,0.0,0.0,연산4동
0.19696969696969696,0.7677178639708183,0.0,0.40919395150285076,0.12623123266711295,0.5416096009823566,0.07142857142857142,0.0,0.0,0.0,연산5동
0.045454545454545456,0.3240002345580373,0.0,0.40919395150285076,0.12623123266711295,0.049576749361283715,0.21428571428571427,0.0,0.0,0.0,연산6동
0.06060606060606061,0.46199030494123794,0.0,0.40919395150285076,0.12623123266711295,0.0,0.0,0.0,0.0,0.0,연산8동
0.24242424242424243,0.49071790648621216,1.0,0.40919395150285076,0.12623123266711295,0.0,0.5714285714285714,0.0,0.5,0.0,연산9동
0.13636363636363635,0.4042520364306984,0.0,0.32027034168289314,0.24136941761499475,0.1199782497364494,0.0,0.0,0.0,0.0,괴정1동
0.030303030303030304,0.35381212473572304,0.0,0.32027034168289314,0.24136941761499475,0.05477898295710122,0.14285714285714285,0.0,0.0,0.0,괴정2동
0.18181818181818182,0.1468424945869455,0.0,0.32027034168289314,0.24136941761499475,0.0,0.0,0.0,0.5,0.0,괴정3동
0.07575757575757576,0.4091967267717356,0.0,0.32027034168289314,0.24136941761499475,0.05391673694283223,0.14285714285714285,0.0,0.0,0.0,괴정4동
0.3181818181818182,0.15059523021326535,0.0,0.32027034168289314,0.24136941761499475,0.08644891000648722,0.5,0.0,0.0,0.0,당리동
0.18181818181818182,0.07681715875221307,0.0,0.32027034168289314,0.24136941761499475,0.24823003515845268,0.0,0.0,0.0,0.0,하단1동
0.36363636363636365,0.19376010630660243,0.0,0.32027034168289314,0.24136941761499475,0.0,0.2857142857142857,0.14285714285714285,0.5,0.0,하단2동
0.06060606060606061,0.22950416869877274,0.0,0.32027034168289314,0.24136941761499475,0.056394915384620915,0.21428571428571427,0.0,0.0,0.0,신평1동
0.13636363636363635,0.1546441195029382,0.0,0.32027034168289314,0.24136941761499475,0.08697373456770154,0.07142857142857142,0.0,0.0,1.0,신평2동
0.13636363636363635,0.09489982222967075,0.0,0.32027034168289314,0.24136941761499475,0.0,0.14285714285714285,0.0,0.0,1.0,장림1동
0.2878787878787879,0.2719990455381942,0.0,0.32027034168289314,0.24136941761499475,0.08769602736564672,0.2857142857142857,0.0,0.0,0.0,장림2동
0.5151515151515151,0.17246884997390996,0.0,0.32027034168289314,0.24136941761499475,0.11229328442639432,0.3571428571428571,0.0,0.0,1.0,다대1동
0.09090909090909091,0.23037781467376933,0.0,0.32027034168289314,0.24136941761499475,0.065361027774243,0.2857142857142857,0.0,0.0,0.0,다대2동
0.07575757575757576,0.0832770187802298,0.0,0.32027034168289314,0.24136941761499475,0.0,0.3571428571428571,0.0,0.0,0.0,구평동
0.24242424242424243,0.17303756075332594,0.0,0.32027034168289314,0.24136941761499475,0.0,0.21428571428571427,0.0,0.0,0.0,감천1동
0.030303030303030304,0.2110017857247814,0.0,0.32027034168289314,0.24136941761499475,0.0,0.0,0.0,0.0,0.0,감천2동
0.0,0.6200674322338413,0.0,0.36143241694236317,0.1548907246820312,0.0,0.21428571428571427,0.0,0.0,0.0,수민동 
0.0,0.26899381993935473,0.0,0.36143241694236317,0.1548907246820312,0.02356677961178799,0.21428571428571427,0.0,0.0,0.0,복산동 
0.0,0.46693142048819125,0.0,0.36143241694236317,0.1548907246820312,0.28142387060270707,0.3571428571428571,0.0,0.0,0.0,명륜동 
0.0,0.2659260413287793,0.0,0.36143241694236317,0.1548907246820312,0.3284747519844479,0.2857142857142857,0.14285714285714285,0.0,0.0,온천1동 
0.0,0.24887318619465162,0.0,0.36143241694236317,0.1548907246820312,0.030760950081036267,0.21428571428571427,0.0,0.0,0.0,온천2동 
0.0,0.5055495875878606,0.0,0.36143241694236317,0.1548907246820312,0.12689778598325402,0.21428571428571427,0.0,0.0,0.0,온천3동 
0.0,0.7698599707543486,0.0,0.36143241694236317,0.1548907246820312,0.09264231912065285,0.21428571428571427,0.0,0.0,0.0,사직1동 
0.0,0.3234405721173576,0.0,0.36143241694236317,0.1548907246820312,0.0,0.42857142857142855,0.0,0.0,0.0,사직2동 
0.0,0.5077342253657082,0.0,0.36143241694236317,0.1548907246820312,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,사직3동 
0.0,0.34343749391941,0.0,0.36143241694236317,0.1548907246820312,0.04065928509308926,0.0,0.0,0.0,0.0,안락1동 
