행정동명,강
금곡동,낙동강
화명3동,낙동강
덕천2동,낙동강
구포2동,낙동강
구포1동,낙동강
모라1동,낙동강
삼락동,낙동강
엄궁동,낙동강
신평2동,낙동강
장림1동,낙동강
다대1동,낙동강
명지2동,낙동강
명지1동,낙동강
대저1동,낙동강
강동동,낙동강
녹산동,낙동강
신호동,낙동강
화전동,낙동강
범방동,낙동강
가락동,낙동강
대저2동,낙동강
