구,행정동명,인구 (명),면적 (㎢),인구밀도 (명/㎢)
구로구,항동,16551,1.4,11822
성동구,행당1동,13996,0.59,23722
성동구,행당2동,23148,0.42,55114
관악구,행운동,29636,0.72,41161
종로구,혜화동,19392,1.12,17314
서대문구,홍은1동,22825,1.58,14446
서대문구,홍은2동,27499,2.06,13349
서대문구,홍제1동,24674,1.23,20060
서대문구,홍제2동,13433,1.05,12793
서대문구,홍제3동,17890,0.81,22086
강서구,화곡1동,52647,1.12,47006
강서구,화곡2동,17785,0.45,39522
강서구,화곡3동,21603,0.53,40760
강서구,화곡4동,20514,0.82,25017
강서구,화곡6동,25303,1.11,22795
강서구,화곡8동,24415,0.53,46066
강서구,화곡본동,34121,0.98,34817
광진구,화양동,27082,1.16,23347
중구,황학동,13459,0.33,40785
동대문구,회기동,13536,0.76,17811
중구,회현동,5222,0.84,6217
용산구,효창동,10888,0.44,24745
용산구,후암동,16812,0.86,19549
동대문구,휘경1동,16339,0.63,25935
동대문구,휘경2동,24666,1.05,23491
동작구,흑석동,30694,1.68,18270
