학교이름,행정동명,,,
선비어린이공원,녹산동,,,
숲길공원,녹산동,,,
신명공원,녹산동,,,
지사공원,녹산동,,,
보람공원,녹산동,,,
송정공원,녹산동,,,
희망공원,녹산동,,,
구랑공원,녹산동,,,
압곡공원,녹산동,,,
남강공원,녹산동,,,
미음공원,녹산동,,,
범방공원,녹산동,,,
분절공원,녹산동,,,
수참공원,녹산동,,,
장전공원,녹산동,,,
탑동공원,녹산동,,,
태야공원,녹산동,,,
노적봉공원,녹산동,,,
소담공원,녹산동,,,
소정공원,녹산동,,,
신호공원,녹산동,,,
화동공원,녹산동,,,
화연공원,녹산동,,,
화전공원,녹산동,,,
화암공원,녹산동,,,
불미공원,녹산동,,,
생곡공원,녹산동,,,
생활공원,녹산동,,,
한적공원,녹산동,,,
가리새공원,녹산동,,,
가리새수변공원,녹산동,,,
금병어린이공원,녹산동,,,
녹산고향동산,녹산동,,,
마비등공원,녹산동,,,
범방어린이공원,녹산동,,,
석말공원,녹산동,,,
세산공원,녹산동,,,
우열등공원,녹산동,,,
죽곡공원,녹산동,,,
우방아이유쉘어린이집,녹산동,,,
홍티문화공원,다대1동,,,
노을마당,다대1동,,,
응봉어린이공원,다대1동,,,
초롱공원,다대1동,,,
대성어린이공원,다대1동,,,
다대포해변공원 몰운대 공영주차장,다대1동,,,
다대포해변공원 보도교,다대1동,,,
공간공원,다대1동,,,
낫개가로공원,다대1동,,,
다대근린공원,다대1동,,,
다대꿈동산어린이공원,다대1동,,,
다대포해변공원,다대1동,,,
더불어공원,다대1동,,,
두송공원,다대1동,,,
등나무공원,다대1동,,,
새싹공원,다대1동,,,
솥밭어린이공원,다대1동,,,
아미산전망대공원,다대1동,,,
열림공원,다대1동,,,
조성공원,다대1동,,,
중현공원,다대1동,,,
통일아시아드공원,다대1동,,,
하늘어린이공원,다대1동,,,
다송어린이공원,다대2동,,,
(의)브니엘의료재단 온종합병원,당감2동,,,
미리내어린이공원,당감4동,,,
백두어린이공원,당감4동,,,
백양가족공원,당감4동,,,
색동어린이공원,당감4동,,, 
솔바람어린이공원,당감4동,,,
뉴본여성의원,당리동,,,
당리하이스트 학원,당리동,,,
서호하단병원,당리동,,,
긱스타 PC방 동아대점,당리동,,,
오엑스 피시 동아대점,당리동,,,
당리공원,당리동,,,
제석골산림공원,당리동,,,
돌담쉼터공원,당리동,,,
마루공원,당리동,,,
희망어린이공원,당리동,,,
샛별어린이공원,당리동,,,
탑클래스PC방,당리동,,,
당곡공원,대연1동 ,,,
대연공원,대연1동 ,,,
평화공원,대연1동 ,,,
우룡산공원,대연1동 ,,,
대연혁신도시문화공원,대연1동 ,,,
