행정동명,자전거도로(km)
잠실7동,3.611111111
잠실2동,3.611111111
잠실3동,3.611111111
장지동,3.611111111
위례동,3.611111111
목1동,3.138888889
목2동,3.138888889
목3동,3.138888889
목4동,3.138888889
신월1동,3.138888889
신월2동,3.138888889
신월3동,3.138888889
신월4동,3.138888889
신월5동,3.138888889
신월6동,3.138888889
신월7동,3.138888889
신정1동,3.138888889
신정2동,3.138888889
신정3동,3.138888889
신정6동,3.138888889
신정7동,3.138888889
목5동,3.138888889
신정4동,3.138888889
여의동,3.511111111
당산1동,3.511111111
당산2동,3.511111111
양평1동,3.511111111
양평2동,3.511111111
신길1동,3.511111111
신길3동,3.511111111
신길4동,3.511111111
신길5동,3.511111111
신길6동,3.511111111
신길7동,3.511111111
대림1동,3.511111111
대림2동,3.511111111
대림3동,3.511111111
영등포본동,3.511111111
영등포동,3.511111111
도림동,3.511111111
문래동,3.511111111
후암동,2.03125
용산2가동,2.03125
남영동,2.03125
원효로2동,2.03125
효창동,2.03125
용문동,2.03125
이촌1동,2.03125
이촌2동,2.03125
이태원1동,2.03125
이태원2동,2.03125
서빙고동,2.03125
보광동,2.03125
청파동,2.03125
원효로1동,2.03125
한강로동,2.03125
한남동,2.03125
녹번동,2.79375
불광1동,2.79375
갈현1동,2.79375
갈현2동,2.79375
구산동,2.79375
대조동,2.79375
응암1동,2.79375
응암2동,2.79375
신사1동,2.79375
신사2동,2.79375
증산동,2.79375
수색동,2.79375
진관동,2.79375
불광2동,2.79375
응암3동,2.79375
역촌동,2.79375
사직동,1.888235294
삼청동,1.888235294
부암동,1.888235294
평창동,1.888235294
무악동,1.888235294
교남동,1.888235294
가회동,1.888235294
종로1.2.3.4가동,1.888235294
종로5.6가동,1.888235294
이화동,1.888235294
혜화동,1.888235294
창신1동,1.888235294
창신2동,1.888235294
창신3동,1.888235294
숭인1동,1.888235294
숭인2동,1.888235294
청운효자동,1.888235294
소공동,1.493333333
회현동,1.493333333
명동,1.493333333
필동,1.493333333
장충동,1.493333333
광희동,1.493333333
을지로동,1.493333333
신당5동,1.493333333
황학동,1.493333333
중림동,1.493333333
신당동,1.493333333
다산동,1.493333333
약수동,1.493333333
청구동,1.493333333
동화동,1.493333333
면목2동,0.6125
면목4동,0.6125
면목5동,0.6125
면목7동,0.6125
상봉1동,0.6125
상봉2동,0.6125
중화1동,0.6125
중화2동,0.6125
묵1동,0.6125
묵2동,0.6125
망우3동,0.6125
신내1동,0.6125
신내2동,0.6125
면목본동,0.6125
면목3.8동,0.6125
망우본동,0.6125
