행정동명,행정동_코드,총반납대여,시설물개수,구,인구 (명),면적 (㎢),인구밀도 (명/㎢),강,하천,자동차등록대수,자전거도로(km),지하철_총승객수,버스_총승객수,학교개수,영화관개수,대학교개수
잠원동,11650540,30656,14,서초구,26393,1.76,14996,한강,,10772.32951,2.681452962,271394,664621,2,,
성수1가1동,11200650,55015,3,성동구,16407,1.97,8328,한강,중랑천,5497.382231,1.629097079,690144,283005,1,1,
성수2가3동,11200690,42814,8,성동구,10520,1.03,10214,,중랑천,3524.865062,1.044560326,2030197,316898,4,,
마장동,11200540,35780,6,성동구,22706,1.05,21625,,,7607.945447,2.254542468,312620,365888,3,,
왕십리도선동,11200535,32537,11,성동구,26903,0.72,37365,,,9014.205776,2.671274377,2044407,550844,2,,
송정동,11200720,29678,2,성동구,10464,0.75,13952,,중랑천,3506.101522,1.038999929,,150901,1,,
잠실6동,11710710,89795,17,송파구,16713,2.79,5990,한강,,5979.541977,2.477731824,766020,852829,3,1,
오륜동,11710566,82645,5,송파구,17804,3.17,5616,,,6369.877661,2.639474504,207869,380253,2,,
문정2동,11710642,76600,21,송파구,28841,2.2,13110,,탄천,10318.6723,4.275729285,2935202,485584,1,2,
잠실3동,11710680,74237,7,송파구,34143,1.49,22915,,,12215.6107,5.061760166,,1011002,3,,
잠실2동,11710670,52243,5,송파구,34876,2.18,15998,한강,,12477.8619,5.170428714,1227186,321933,9,,
위례동,11710647,45347,6,송파구,44613,2.55,17495,,,15961.54528,6.613956193,,783823,6,,
오금동,11710570,42479,18,송파구,38037,1.65,23053,,,13608.79783,5.639052557,1036528,594270,7,,
장지동,11710646,39963,11,송파구,29102,1.37,21242,,,10412.05233,4.314422996,,571880,6,,
석촌동,11710600,36975,23,송파구,31602,0.95,33265,,,11306.49707,4.68505242,2160068,716536,1,,
송파2동,11710590,31619,5,송파구,18947,0.53,35749,,,6778.817796,2.808926277,,300617,7,,
잠실본동,11710650,31108,13,송파구,28358,0.94,30168,,탄천,10145.86558,4.20412368,370656,538257,1,,
목1동,11470510,89424,15,양천구,30536,1.41,21657,,안양천,9938.631344,3.931393102,944886,1182139,1,2,
목5동,11470550,71200,14,양천구,40737,1.81,22507,,안양천,13258.77735,5.244732801,218869,817466,8,,
신정6동,11470670,60871,11,양천구,24152,0.96,25158,,,7860.814259,3.109477541,385287,300514,5,,
신정3동,11470640,55617,14,양천구,50587,2.72,18598,,,16464.68247,6.512882593,573959,966712,11,,
신정7동,11470680,48527,7,양천구,28579,1.21,23619,,안양천,9301.681464,3.679436844,385287,242359,4,,
신정2동,11470630,30129,3,양천구,19003,0.52,36544,,안양천,6184.955837,2.446563503,,160333,6,,
여의동,11560540,212352,20,영등포구,32923,8.4,3919,한강,,11897.82362,5.527647354,7984912,2788411,5,1,
당산2동,11560560,109285,8,영등포구,37102,1.55,23937,한강,,13408.04458,6.22928567,4249030,1017536,7,,
영등포동,11560535,92540,28,영등포구,30461,1.26,24175,,,11008.09784,5.114286853,575286,2147150,2,1,1
문래동,11560605,78292,16,영등포구,32540,1.49,21839,,,11759.4138,5.463343101,1155598,717718,3,,
