시설물개수,인구밀도,하천,자동차등록대수,자전거도로,지하철_총승객수,학교개수,영화관개수,대학교개수,강,행정동명,cluster
0.121212121,0.558207468,1,0.534713106,0.085813492,0,0.529411765,0,0,0,창4동,4
1,0.589275605,1,0.719471775,0.46875,0,0.588235294,0.5,0.2,0,상계6.7동,4
0.121212121,0.426099952,0,0.598780041,0.577876984,0,0.294117647,0,0,0,전농2동,3
0.090909091,0.295894568,0,0.598780041,0.577876984,0.159176958,0.117647059,0,0.2,0,청량리동,5
0.636363636,0.688843097,0,0.888987768,0.832947531,0.158898012,0.058823529,0,0,0,석촌동,3
0.333333333,0.566948212,0,0.519401642,0.724305556,0,0.117647059,0.25,0,0,구의3동,3
0.606060606,0.796200267,0,1,0.900694444,0.084628918,0.823529412,0.25,0,0,등촌3동,2
0.272727273,0.018138176,0,1,0.900694444,0.473882219,0.117647059,0.25,0,0,방화2동,2
0.363636364,0.000611399,0,0.955683629,0.46412037,0,0.176470588,0,0,0,양재2동,2
0.818181818,0.103371753,0,0.955683629,0.46412037,0,0.294117647,0,0.4,0,양재1동,5
0.121212121,0.425262109,0,0.423714882,0.284109477,0.022996821,0.176470588,0,0,0,마장동,3
0.151515152,0.496524082,0,0.784303596,0.978009259,0.040304757,0.235294118,0,0,0,둔촌2동,3
0.212121212,0.273521886,0,0.584733558,0,0,0.176470588,0,0.2,0,신내1동,5
0.121212121,0.561762641,0,0.720524315,0.805169753,0.201636848,0.058823529,0,0,0,당산1동,3
0.212121212,0.653653676,0,0.584733558,0,0,0,0.25,0,0,상봉2동,3
0.303030303,0.867937773,1,0.534713106,0.085813492,0.040430621,0.176470588,0.25,0,0,방학1동,4
0.606060606,0.208215394,0,0.823687525,0.307291667,0.092055033,0.470588235,0,0,0,오류2동,2
0.272727273,0.781685197,0,0.423714882,0.284109477,0.150389806,0.117647059,0,0,0,왕십리도선동,3
0.181818182,0.327642037,0,0,0.354370915,0.148217533,0.411764706,0.25,0,0,혜화동,3
0.181818182,0.476936664,0,0.623224318,0.094675926,0.101163134,0.705882353,0,0,0,대방동,3
0.575757576,1,0,1,0.900694444,0.337402024,0.176470588,0.25,0,0,화곡1동,3
0.090909091,0.745091823,0,0.888987768,0.832947531,0,0.411764706,0,0,0,송파2동,3
