행정동코드,총반납대여,행정동명,cluster
1.380516368598947,0.306392920044832,가산동,1
1.2379929225447128,1.9999999999999998,가양1동,2
1.2379960962914751,0.01742332717136577,가양2동,3
1.9994128568481528,0.11156315046360316,강일동,2
0.7619055175587519,0.09636686511113374,공릉1동,2
0.7619213862925847,0.10105384201103329,공릉2동,2
1.2380468762397427,0.4895998602640427,공항동,0
0.09540282780837117,0.0036389572204189036,광희동,0
1.3330053795007686,0.19389091861836072,구로3동,0
1.3330688544361067,0.2670630704065443,구로5동,0
0.33432248440897183,0.059766233388160284,구의3동,0
0.3338781598616265,0.2594867614736321,군자동,0
1.9999523937985018,0.18172224567327983,길동,2
1.523334973102493,0.09221117596541534,노량진1동,3
0.856848152085945,0.003602567648214705,녹번동,0
0.38107177428312866,0.08684007510807701,답십리1동,0
1.428249519970798,0.040887323328626934,당산1동,0
1.4282812574384707,0.5864034002416267,당산2동,3
1.523811035117511,0.024126286371377398,대방동,0
1.3808337432756232,0.17200622989476133,독산1동,2
2.0,0.04844179851821662,둔촌2동,0
1.2377295015630736,0.18004832535188714,등촌1동,0
1.2377771077645718,0.05944600515276344,등촌3동,2
0.2856689464747575,0.05144029926784177,마장동,0
0.4764587333576671,0.011768387650834766,망우본동,0
1.047875969976353,0.16156970058659986,망원2동,3
0.09527587793770209,0.15821458202937366,명동,0
1.142485361093037,0.4418567415321465,목1동,2
1.142612310963706,0.3092240287623178,목5동,2
1.4284240760429725,0.3608389979767398,문래동,2
1.9046035196851676,0.34852476674284216,문정2동,2
1.7139819413808937,0.08572655419862885,반포3동,3
1.2380183125188466,0.8987933217857091,발산1동,2
0.6669946204992314,0.032444942577255054,방학1동,0
1.2380786137074153,0.39971761691969543,방화1동,2
1.2381103511750808,0.058106868895649255,방화2동,0
0.0,0.14336035865562363,사직동,0
0.7620165986955882,0.15246502962111175,상계1동,0
0.7620483361632608,0.0,상계2동,0
0.7622228922354282,0.06707325948676146,상계6.7동,2
0.47625243981782717,0.037372090653702256,상봉2동,0
1.048002919847022,0.5153272878124044,상암동,3
1.047733151371851,0.006346341392410582,서강동,3
1.0477490201056838,0.3907730600719058,서교동,1
1.9044702223209597,0.060137407024642986,석촌동,2
1.9998095751939928,0.09474389019082691,성내1동,0
1.047939444911691,0.005742274493821031,성산1동,0
1.0479711823793565,0.28781968239181377,성산2동,2
0.28601805861909924,0.19143098353735755,성수1가1동,3
0.2861450084897754,0.1026331494446951,성수2가3동,0
0.2862402208927719,0.00703046534984933,송정동,0
1.9044384848532943,0.021156897279515557,송파2동,0
0.4765380770268308,0.04483195295556103,신내1동,0
1.332910167097765,0.2009141060537692,신도림동,0
1.6191345192567113,0.08728402788896811,신림동,0
1.1428662107050442,0.010312804762667188,신정2동,0
1.1428979481727168,0.1958122880307419,신정3동,2
1.1429931605757204,0.23405045050290385,신정6동,0
1.143024898043386,0.14421187464520163,신정7동,0
1.7142072774013357,0.051855140390969556,양재1동,2
1.714210451148105,0.05391479017772666,양재2동,0
1.4284399447768052,0.14702114961936508,양평1동,0
1.4284716822444707,0.15144612159939447,양평2동,3
1.4282177825031326,1.3365162079154598,여의동,1
1.237697764095401,0.08451842040144975,염창동,3
1.4282019137692998,0.46453472292979725,영등포동,2
1.4281384388339617,0.018653294711867358,영등포본동,0
1.9043750099179562,0.10019504810701446,오금동,2
1.3337670787247902,0.02965750134641415,오류2동,2
1.9043623149308928,0.3925197595377069,오륜동,0
0.28565307774092474,0.0278380227362047,왕십리도선동,0
0.38086865449005813,0.2847993478988661,용신동,2
1.23803100750591,0.2772812622814806,우장산동,2
0.7617944364219156,0.09325191773045516,월계1동,0
1.9046193884190004,0.12106810672333734,위례동,2
0.8570703143596177,0.11411042051789638,응암1동,0
0.33416379707063015,0.33859041353109853,자양1동,0
0.33419553453829565,0.09221117596541534,자양2동,3
0.33422727200596825,0.19482976958122877,자양3동,3
1.9046923845946324,0.17125660470735504,잠실2동,3
1.904724122062298,0.3313270549191424,잠실3동,0
1.9048193344653015,0.4445568477896974,잠실6동,3
1.9046289096593014,0.01743788300024743,잠실본동,0
1.7138549915102246,0.014148265672988741,잠원동,3
1.904616214672231,0.08188381537386646,장지동,0
0.3809765618801251,0.06574140114408816,전농2동,0
0.0002697684751709062,0.5159968559409616,종로1.2.3.4가동,1
0.7619880349746921,0.12043492816698448,중계1동,0
0.7620007299617555,0.09377592757019548,중계2.3동,0
0.8574194265039594,0.1276764530356181,진관동,2
0.6664360410682804,0.07020276269632175,창4동,0
0.6664392148150498,0.013173025137916461,창5동,0
1.9997143627909892,0.11888473239108599,천호2동,3
0.38140501769363766,0.06128003959185452,청량리동,0
0.1907263119475715,0.1851574212893553,한강로동,3
0.0003808496120072391,0.02417723177246328,혜화동,0
1.2377929764984046,0.02286720717311247,화곡1동,2
1.2379548375835085,0.013216692624561488,화곡6동,0
0.3338146849262884,0.33868502641882936,화양동,0
0.3814843613628085,0.0069140187187959334,휘경2동,0
