행정동명,자동차등록대수
가락2동,8714.740741
문정1동,8714.740741
문정2동,8714.740741
잠실본동,8714.740741
잠실4동,8714.740741
잠실6동,8714.740741
잠실7동,8714.740741
잠실2동,8714.740741
잠실3동,8714.740741
장지동,8714.740741
위례동,8714.740741
목1동,7935.166667
목2동,7935.166667
목3동,7935.166667
목4동,7935.166667
신월1동,7935.166667
신월2동,7935.166667
신월3동,7935.166667
신월4동,7935.166667
신월5동,7935.166667
신월6동,7935.166667
신월7동,7935.166667
신정1동,7935.166667
신정2동,7935.166667
신정3동,7935.166667
신정6동,7935.166667
신정7동,7935.166667
목5동,7935.166667
신정4동,7935.166667
여의동,7557.388889
당산1동,7557.388889
당산2동,7557.388889
양평1동,7557.388889
양평2동,7557.388889
신길1동,7557.388889
신길3동,7557.388889
신길4동,7557.388889
신길5동,7557.388889
신길6동,7557.388889
신길7동,7557.388889
대림1동,7557.388889
대림2동,7557.388889
대림3동,7557.388889
영등포본동,7557.388889
영등포동,7557.388889
도림동,7557.388889
문래동,7557.388889
후암동,4553.75
용산2가동,4553.75
남영동,4553.75
원효로2동,4553.75
효창동,4553.75
용문동,4553.75
이촌1동,4553.75
이촌2동,4553.75
이태원1동,4553.75
이태원2동,4553.75
서빙고동,4553.75
보광동,4553.75
청파동,4553.75
원효로1동,4553.75
한강로동,4553.75
한남동,4553.75
녹번동,7938.5625
불광1동,7938.5625
갈현1동,7938.5625
갈현2동,7938.5625
구산동,7938.5625
대조동,7938.5625
응암1동,7938.5625
응암2동,7938.5625
신사1동,7938.5625
신사2동,7938.5625
증산동,7938.5625
수색동,7938.5625
진관동,7938.5625
불광2동,7938.5625
응암3동,7938.5625
역촌동,7938.5625
사직동,2607.352941
삼청동,2607.352941
부암동,2607.352941
평창동,2607.352941
무악동,2607.352941
교남동,2607.352941
가회동,2607.352941
종로1.2.3.4가동,2607.352941
종로5.6가동,2607.352941
이화동,2607.352941
혜화동,2607.352941
창신1동,2607.352941
창신2동,2607.352941
창신3동,2607.352941
숭인1동,2607.352941
숭인2동,2607.352941
청운효자동,2607.352941
소공동,3542.8
회현동,3542.8
명동,3542.8
필동,3542.8
장충동,3542.8
광희동,3542.8
을지로동,3542.8
신당5동,3542.8
황학동,3542.8
중림동,3542.8
신당동,3542.8
다산동,3542.8
약수동,3542.8
청구동,3542.8
동화동,3542.8
면목2동,6624.5
면목4동,6624.5
면목5동,6624.5
면목7동,6624.5
상봉1동,6624.5
상봉2동,6624.5
중화1동,6624.5
중화2동,6624.5
묵1동,6624.5
묵2동,6624.5
망우3동,6624.5
신내1동,6624.5
신내2동,6624.5
면목본동,6624.5
면목3.8동,6624.5
망우본동,6624.5
