학교이름,주소,위도,경도,행정동명,행정동_코드
연세대학교 신촌캠퍼스,서울 서대문구 연세로 50,37.56777675,126.9394029,신촌동,11410585
옥천범음대학,서울 서대문구 봉원사길 120,37.5712168,126.9469232,신촌동,11410585
육군사관학교,서울 노원구 공릉동 1-1,37.63021,127.08818,공릉2동,11350600
이화여자대학교,서울 서대문구 이화여대길 52,37.5643371,126.9468925,신촌동,11410585
인덕대학교,서울 노원구 초안산로 12,37.63118345,127.0544838,월계2동,11350570
인제대학교 서울캠퍼스,서울 중구 마른내로 9,37.5638445,126.9962355,광희동,11140590
장로회신학대학교,서울 광진구 광장로5길 25-1,37.5496799,127.1043367,광장동,11215810
정토불교대학,서울 서초구 효령로51길 7,37.484926,127.0125451,서초3동,11650530
정화예술대학교 남산캠퍼스,서울 중구 퇴계로8길 73,37.5560785,126.9803933,회현동,11140540
조계사불교대학,서울 종로구 우정국로 45-19,37.5694827,126.9828572,종로1.2.3.4가동,11110615
중앙대학교 서울캠퍼스,서울 동작구 흑석로 84,37.5063427,126.9588765,흑석동,11590605
중앙대학교 평동캠퍼스입구,서울 종로구 경교장길 8,37.56735555,126.9662743,교남동,11110580
총신대학교,서울 동작구 사당로 143,37.4879612,126.9664481,사당3동,11590640
추계예술대학교,서울 서대문구 북아현로11가길 7,37.5631121,126.9542292,충현동,11410565
태재대학교,서울 종로구 창덕궁5길 22-8,37.5834728,126.9890383,가회동,11110600
한국 상담대학원대학교,서울 서초구 효령로 366,37.4880529,127.026779,서초2동,11650520
한국불교대학대관음사,서울 동대문구 한천로 231,37.5953861,127.0681531,이문1동,11230740
한국불교법사대학,서울 종로구 우정국로 45-3 한선빌딩 3층,0,0,견지동,NaN
한국성서대학교,서울 노원구 동일로214길 32,37.64968,127.06534,상계6.7동,11350695
한국외국어대학교 서울캠퍼스,서울 동대문구 이문로 107,37.59708145,127.0587413,이문1동,11230740
한국체육대학교,서울 송파구 양재대로 1239,37.5001856,127.1185973,가락본동,11710620
한국폴리텍대학 대학본부 서울정수캠퍼스,서울 용산구 보광로 73,37.53011215,126.9965598,보광동,11170700
한림국제대학원대학교,서울 강남구 역삼로 405,37.4971992,127.041991,역삼2동,11680650
한림대학교 임상치의학대학원치과병원,서울 동대문구 약령시로 158,37.5827887,127.0471881,청량리동,11230705
한반도국제대학원대학교 서울캠퍼스,서울 용산구 임정로 17,37.5467754,126.9622408,효창동,11170580
한성대학교,서울 성북구 삼선교로16길 116,37.5830517,127.0103797,삼선동,11290555
한신대학교,서울 강북구 인수봉로 159,37.6331021,127.0135479,수유1동,11305615
한양대학교 ,서울 성동구 왕십리로 222,37.55698765,127.0470893,사근동,11200550
한양여자대학교,서울 성동구 살곶이길 200,37.5584964,127.0496305,사근동,11200550
해동불교범음대학,서울 종로구 종로17길 45,37.5717636,126.9886472,종로1.2.3.4가동,11110615
해인선원강동불교대학,서울 강동구 구천면로 329,37.5446913,127.1134486,천호2동,11740610
호서대학교 서울캠퍼스,서울 서초구 남부순환로 2497,37.4738296,126.9935686,방배3동,11650620
홍익대학교 서울캠퍼스,서울 마포구 와우산로 94,37.55035515,126.9254433,서강동,11440655
횃불트리니티 신학대학원대학교,서울 서초구 바우뫼로31길 70,37.4786527,127.0367868,양재1동,11650651
