학교이름,주소,위도,경도,행정동명,행정동_코드
메가박스 군자,서울 광진구 능동로 289,37.5557176,127.0783911,군자동,11215730
KU시네마테크,서울 광진구 능동로 120 건국대학교 예술문화대학 지하 108호,0,0,화양동,11215710
롯데시네마 청량리,서울 동대문구 왕산로 214 롯데백화점 7층,0,0,전농1동,NaN
CGV 성신여대입구,서울 성북구 동소문로 106 10~12층,0,0,동선동,NaN
아리랑시네센터 아리랑인디웨이브,서울 성북구 아리랑로 82,37.5941888,127.0172298,동선동,11290575
하늘채시네마,서울 성북구 돌곶이로 220,37.6176528,127.0479112,장위1동,11290760
CGV 수유,서울 강북구 도봉로 399,37.6128166,127.0302125,송중동,11305545
롯데시네마 수유관,서울 강북구 도봉로 308 10~14층,0,0,번1동,NaN
CGV 미아,서울 강북구 도봉로 34 트레지오쇼핑몰 9층,0,0,송중동,NaN
메가박스 창동,서울 도봉구 도봉로 558 1층,0,0,창5동,11320515
CGV 방학,서울 도봉구 도봉로 684 모비우스 스퀘어 4~8층,0,0,방학1동,11320690
그때 그 시절 청춘극장,서울 도봉구 도봉로 552,37.65419445,127.0388944,창5동,11320515
CGV 중계,서울 노원구 동일로204가길 12 홈플러스 중계점 8층,0,0,중계2.3동,11350625
롯데시네마 노원,서울 노원구 동일로 1414 롯데백화점 10층,0,0,상계6.7동,11350695
CGV 하계,서울 노원구 섬밭로 258 건영백화점 지하1층,0,0,하계2동,NaN
롯데시네마 수락산,서울 노원구 동일로 1660,37.6175709,127.075671,공릉1동,11350595
더숲아트시네마,서울 노원구 노해로 480 조광빌딩 지하1/2층,0,0,상계6.7동,11350695
청춘극장,서울 노원구 노원로1길 68,37.6198054,127.0800324,공릉2동,11350595
CGV 상봉,서울 중랑구 상봉로 131 상봉듀오트리스 지하2층,0,0,상봉2동,11260590
메가박스 상봉,서울 중랑구 망우로30길 3 안산빌딩 4,0,0,면목2동,NaN
롯데시네마 중랑,서울 중랑구 동일로 951,37.5986537,127.0798699,중화2동,11260610
