행정동명,인구밀도,시설물개수,자동차등록대수,강,하천,자전거도로,지하철승하차합계,학교개수,영화관개수,대학교개수
좌천동,25241.30435,9,8166.9346,,,0.551748895,208070,4,,
범일1동,11579.59184,10,7970.600475,,,0.538484783,,,,
범일2동,9350.60241,24,5490.999353,,,0.370965726,808856,1,,
범일5동,2435.83815,1,2971.84891,,,0.200774762,,,,
서1동,14250,,1906.245785,,,0.853023028,,2,,
서2동,22492.5,3,3451.774841,,,1.544629475,125312,1,,
서3동,11933.69565,5,4245.511253,,,1.899817376,,4,,
금사회동동,1402.181818,14,2982.004336,,수영강,1.334412586,92447,1,,
부곡1동,11454.92958,2,3120.618555,,,1.396440852,,4,,
부곡2동,14809.16667,10,6957.077941,,,3.11321223,,6,,1
부곡3동,1882.381531,7,6075.858718,,수영강,2.71887678,,2,,1
부곡4동,18694.02985,3,4878.263472,,,2.182966704,,1,,
장전1동,5481.097561,8,7192.362698,,,3.218499448,618821,2,,
장전2동,9569.708029,24,10372.10205,,,4.641396175,898442,3,1,1
선두구동,190.0414938,13,874.8277646,,수영강,0.391475346,,10,1,
청룡노포동,895.8753437,8,3832.864197,,,1.715162572,1127195,2,,
남산동,7672.802198,20,10816.70631,,,4.84035146,321800,4,,1
구서1동,6401.320132,,7594.224185,,,3.398327834,539320,3,,
구서2동,10148.27586,14,12677.01363,,,5.672817556,366887,3,,
금성동,120.1660735,2,389.8775781,,,0.174465725,,1,,
동대신1동,22695.83333,1,1663.86425,,,0.169514305,,2,,
동대신2동,15974.4186,2,2091.532663,,,0.213085115,348599,1,,
동대신3동,5137.671233,7,2286.065586,,,0.232904108,,1,,
서대신1동,23356.25,3,4534.44041,,,0.461968285,179015,,,
서대신3동,5397.857143,1,2304.607004,,,0.234793105,,1,,
서대신4동,2363.344051,4,2238.952142,,,0.228104195,,4,,
부민동,18056.09756,6,2244.423365,,,0.228661603,,1,,
아미동,8401.388889,4,1845.934869,,,0.188063639,505134,,,
초장동,9056.818182,,1217.654387,,,0.124054493,,,,
충무동,26186.48649,4,2954.468463,,,0.301000918,,4,,
남부민1동,12554.05405,1,1414.314996,,,0.144090255,,2,,
남부민2동,11337.83784,3,2556.587892,,,0.26046489,,3,,
암남동,4037.534247,11,4483.07156,,,0.456734832,,2,,
남항동,14200,9,3332.940642,,,0.819858266,,2,,1
영선1동,22535.29412,2,1205.719869,,,0.296590761,,,,
영선2동,12296.8254,1,2464.178115,,,0.606154448,,4,,
신선동,6808.928571,,2439.23,,,0.60001755,,6,,
봉래1동,21353.33333,5,2038.165524,,,0.50136112,,1,,
봉래2동,11817.1875,,2399.123566,,,0.59015191,,,,
청학1동,6337.777778,,1809.527185,,,0.445119184,,1,,
청학2동,10304.79042,5,5452.582256,,,1.3412614,,2,,
동삼1동,6850.259067,23,8380.668826,,,2.061531047,,11,1,1
동삼2동,1472.321429,3,1542.361405,,,0.37940002,,1,,
동삼3동,11390.12346,2,2925.560195,,,0.719648192,,1,,
기장읍,1346.83,66,25167.52055,,,18.21511488,,9,2,
장안읍,173.2,23,4201.840106,,,3.041102126,,6,,
정관읍,2114.86,61,38623.83458,,,27.95418733,,14,2,
일광읍,812.1364653,17,14073.24707,,,10.18558073,,4,,
철마면,146.2,11,3722.64095,,,2.694279416,149882,2,,
대연1동 ,15819,16,6291.538607,,,1.049728527,,2,,
대연3동 ,8338.5,14,13090.13283,,,2.184058098,988458,9,1,1
대연4동 ,11902,8,4779.504581,,,0.79744918,,1,1,
대연5동 ,16806,2,6684.635677,,,1.115315855,517741,2,,
대연6동 ,14906,7,5967.928401,,,0.995734919,260005,4,,
용호1동 ,21463,12,17237.50556,,,2.876037555,,8,,
용호2동 ,9586.5,4,6492.851975,,,1.083317192,,3,,
용호3동 ,5717,9,4725.503438,,,0.788439215,,2,,
용호4동 ,3937,3,3321.471799,,,0.554179814,,,,
용당동 ,1997.25,5,3221.807808,,,0.53755111,,1,,1
감만1동 ,3253.333333,2,4370.127777,,,0.729145616,,2,,
감만2동 ,6616,4,2673.457173,,,0.446060087,,1,,
우암동 ,12551,3,5069.364047,,,0.845811555,,5,,
문현1동 ,11333,2,5168.233925,,,0.862307763,,3,,
문현2동 ,8049,11,3305.192065,,,0.551463579,259733,3,,
문현3동 ,16667,6,6582.192288,,,1.098223415,272598,,,
문현4동 ,8974,10,3123.334987,,,0.52112115,149351,3,,1
부전1동,27284.21053,14,6498.291,,,0.991579142,4172823,1,,
부전2동,14009.85915,38,4433.06942,,,0.676445418,,1,4,
연지동,21052.52525,6,10392.76707,,,1.585840194,,1,,
초읍동,3795.431472,10,8599.091533,,,1.312141886,,6,,
양정1동,17260.5042,13,7815.534213,,,1.192578281,,4,,1
양정2동,14579.77528,3,4765.549729,,,0.72717884,657344,6,,
전포1동,11756.74157,15,8618.72136,,,1.315137216,503220,6,1,
전포2동,18509.64912,7,9527.827772,,,1.453858452,,8,,1
부암1동,28761.25,10,9575.266423,,,1.461097151,,3,,
부암3동,9842.076503,8,6864.305476,,,1.047429568,,6,,
당감1동,9795.081967,1,8942.61351,,,1.364560164,,3,,
당감2동,12015.11628,6,4069.099731,,,0.620907008,325111,,,
당감4동,13513.7931,8,4450.654462,,,0.679128733,,2,,
가야1동,9895.544554,7,7462.197322,,,1.138662338,593116,3,,1
가야2동,14700,9,7429.88991,,,1.133732525,,4,,
개금1동,29658.62069,12,7373.454084,,,1.12512094,448050,2,,1
개금2동,12344.56522,2,4240.042834,,,0.646991345,,1,,
개금3동,14555.17241,5,11222.53614,,,1.712455285,,12,,
범천1동,21901.81818,17,5096.802991,,,0.777725026,512876,1,,
범천2동,11700,4,8870.637428,,,1.35357728,,1,,
우1동,3185.488506,19,10590.1793,,,3.746845995,1006277,8,2,
우2동,9394.080997,48,14389.49436,,수영강,5.091058213,1557470,8,7,
우3동,33890.36145,14,13377.04357,,수영강,4.732849248,,1,,
중1동,25793.39623,32,13035.42488,,,4.611983244,383012,3,,
중2동,8344.565217,5,7293.272647,,,2.580387794,,,,
좌1동,24053.42466,15,8355.821303,,,2.956321578,,4,,
좌2동,21574.30556,20,14760.21748,,,5.222221472,791741,8,,
좌3동,19659.49367,1,7387.265552,,,2.613642844,,2,,
좌4동,3530.551181,26,10671.76708,,,3.775712062,,2,,
송정동,2295.192308,10,4514.519527,,,1.597254298,,,,
반여1동,6680.501931,22,16489.30424,,수영강,5.833978991,10196,8,,
반여2동,11656.31068,3,5697.302674,,,2.015727505,,,,
반여3동,8019.80198,1,3838.438942,,,1.358054398,,1,,
반여4동,12193.54839,4,7183.057804,,수영강,2.54139336,,5,,
반송1동,1930.473373,18,6172.515332,,,2.183859564,279935,3,,1
반송2동,4811.764706,4,10464.21933,,,3.702280873,137265,4,,
재송1동,14767.87149,14,17607.67607,,,6.229663228,,5,,
