대여소번호,보관소(대여소)명,자치구,상세주소,위도,경도
1516,우이초등학교 후문 옆,강북구,서울특별시 강북구 수유동 394-11 우이교회 사회교육관,37.64308548,127.0161667
1518,SK telecom(수유직영점) 앞,강북구,서울특별시 강북구 수유동 340-12,37.64545059,127.0156174
1519,세븐일레븐 수유장미원점 앞,강북구,서울특별시 강북구 수유동 322-22 경모빌딩,37.63986206,127.022789
1520,성실교회,강북구,서울특별시 강북구 수유동 221-49 성실교회,37.65447235,127.0127564
1522,월드전기조명인테리어(우이동),강북구,서울특별시 도봉구 쌍문동 503-8,37.62714005,127.0266953
1525,미아동 복합청사,강북구,"서울특별시 강북구 미아동 197-1 미아동 복합청사, 미아문화정보도서관",37.64173889,127.0246277
1526,수유동 채선당앞,강북구,서울특별시 강북구 수유동 140 구두수선대-24,37.62733459,127.0260544
1527,미아역 1번 출구 뒤,강북구,서울특별시 강북구 미아동 194-1 미아역,37.61503601,127.0206986
1528,삼각산동 주민센터,강북구,서울특별시 강북구 미아동,37.63018036,127.02491
1529,미아동 한국전력공사,강북구,서울특별시 강북구 미아동 194-1 미아역,37.64355087,127.0223465
1530,광산사거리,강북구,서울특별시 강북구 수유동 231-1 광산빌딩,37.61395645,127.0302506
1531,미아사거리 1번 출구,강북구,서울특별시 강북구 미아동 66-1 미아사거리역,37.62635422,127.0474472
1532,번3동 주민센터 교차로,강북구,서울특별시 강북구 번동,37.62991714,127.0409164
1533,"번동 주공3, 4단지 교차로",강북구,서울특별시 강북구 번동,37.6362915,127.0233765
1535,효성인텔리안 앞,강북구,서울특별시 강북구 수유동 230-7 효성 인텔리안 오피스텔,37.63626099,127.0321732
1536,번동 두산위브 101동 옆,강북구,서울특별시 강북구 번동,37.66366577,127.0124283
1537,북한산 우이역,강북구,서울특별시 강북구 우이동 5-5 두온리치밸리아파트,37.65615845,127.0131378
1538,솔밭공원역,강북구,서울특별시 강북구 우이동 57-18 솔밭공원역,37.64967346,127.0134506
1539,4.19민주묘지역,강북구,서울특별시 강북구 우이동 72-182 4.19민주묘지역,37.64167023,127.0168839
1540,가오리역,강북구,서울특별시 강북구 수유동 371-1 가오리역,37.62652969,127.0180588
1541,삼양역,강북구,서울특별시 강북구 미아동 791-961,37.62155151,127.0203705
1542,삼양사거리역,강북구,서울특별시 강북구 미아동 791-2244 삼양사거리역,37.63018799,127.0177383
1543,수유1동 주민센터,강북구,"서울특별시 강북구 수유동 605-412 수유1동 주민센터,수유문화정보도서관",37.61545944,127.0297012
1546,송천동우체국,강북구,서울특별시 강북구 미아동 861-1 구두수선대-06,37.6186409,127.0362396
1547,꿈의숲 롯데캐슬,강북구,서울특별시 강북구 미아동,37.62268829,127.0378113
1548,북서울 꿈의숲 서문,강북구,서울특별시 강북구 번동 123-1 양주조씨회관,37.61522293,127.0185089
1550,삼각산아이원아파트(105동 옆),강북구,서울특별시 강북구 미아동 1357 삼각산아이원아파트,37.64686203,127.008812
1551,4.19탑 앞,강북구,서울특별시 강북구 수유동,37.63920212,127.0272369
1552,강북구청사거리(던킨도너츠 앞),강북구,서울특별시 강북구 번동 418-1 코스타타워,37.63520432,127.0339661
1553,예수그리스도후기성도교회 앞,강북구,서울특별시 강북구 번동 433-1 예수그리스도 후기성도교회,37.63539124,127.0345535
1554,번동사거리,강북구,서울특별시 강북구 번동,37.63238144,127.0393066
1557,신창교,강북구,서울특별시 강북구 번동,37.62552643,127.037323
1558,강북문화정보도서관,강북구,서울특별시 강북구 번동,37.6198082,127.0285263
1560,도봉세무서 앞,강북구,서울특별시 강북구 미아동 327-5 도봉세무서,37.64959717,127.0138474
1564,4.19민주묘지역 1번출구,강북구,서울특별시 강북구 우이동,37.63561249,127.022995
1565,대한병원앞,강북구,서울특별시 강북구 수유동 45-9 대한병원,37.64793396,127.0145721
1568,4.19민주묘지 입구사거리,강북구,서울특별시 강북구 우이동,37.63796997,127.0259018
1569,수유역2번출구,강북구,서울특별시 강북구 수유동 252-276 르레브힐스B동,37.62673187,127.0387726
1571,북서울 꿈의숲 입구,강북구,서울특별시 강북구 번동,37.66446304,127.0118408
1572,우이산 입구,강북구,서울특별시 강북구 우이동,37.61666489,127.02211
1573,현대성우아파트 옆,강북구,서울특별시 강북구 미아동,37.61669922,127.0304947
1574,송중초등학교 옆,강북구,서울특별시 강북구 미아동 98-39,37.61529922,127.0644684
3703,신성교회 앞,강북구,서울특별시 강북구 미아동,37.61708832,127.0280991
3707,드래곤타워 앞,강북구,서울특별시 강북구 번동,37.63713455,127.0313797
3711,월계2교 교차로,강북구,서울특별시 강북구 번동,37.6242218,127.0492172
3714,송천센트레빌,강북구,서울특별시 강북구 미아동,37.61220932,127.0249786
3718,번동 SK LPG 충전소,강북구,서울특별시 강북구 번동,37.628685,127.0439072
1101,개화동상사마을종점 버스정류장,강서구,서울특별시 강서구 개화동 425-24,37.57364273,126.8118057
1102,방화사거리 마을버스 버스정류장,강서구,서울특별시 강서구 방화동 450-20,37.57722092,126.8121948
1103,방화역 4번출구앞,강서구,서울특별시 강서구 방화동 829-4 금강프라자빌딩,37.58162308,126.8126526
1105,방화근린공원,강서구,서울특별시 강서구 방화동 855 방화근린공원관리사무소,37.57303238,126.816452
1106,신방화사거리,강서구,서울특별시 강서구 방화동 271-5 수정교회,37.56387329,126.8106079
1108,공항시장역 2번출구 뒤,강서구,서울특별시 강서구 공항동 산20-2 공항시장역(9호선),37.56334686,126.8104858
1109,공항시장역 4번출구,강서구,서울특별시 강서구 공항동 산20-2 공항시장역(9호선),37.56268311,126.8162384
1110,공항중학교앞,강서구,서울특별시 강서구 공항동 12-3 공항중학교,37.56698227,126.8218002
1111,마곡엠밸리6_7단지 마곡중학교,강서구,서울특별시 강서구 마곡동 736-1 마곡중학교,37.56857681,126.8247757
1112,마곡엠밸리4단지 정문,강서구,서울특별시 강서구 마곡동 738 마곡엠밸리4단지,37.57312393,126.8223877
1113,서남환경공원 버스정류장,강서구,서울특별시 강서구 마곡동 74,37.55166626,126.86409
1115,등촌역 1번출구옆,강서구,서울특별시 강서구 등촌동 648 우현빌딩,37.55819702,126.8442612
1117,스타벅스앞,강서구,서울특별시 강서구 등촌동 668-9 청호프라자,37.55746078,126.8614578
1118,증미역 3번출구뒤(등촌두산위브센티움오피스텔),강서구,서울특별시 강서구 등촌동 666-40 증미역 9호선,37.55425262,126.8675613
1119,염창동 한마음아파트앞(염창동 빛나는 음악학원앞),강서구,서울특별시 강서구 염창동 244-2 한마음삼성아파트,37.564785,126.8546448
