행정동명,하천
강동동,평강천
대저2동,평강천
대저1동,평강천
대저2동,맥도강
우3동,수영강
우2동,수영강
제송2동,수영강
제송1동,수영강
반여1동,수영강
금사회동동,수영강
석대동,수영강
부곡3동,수영강
선두구동,수영강
두구동,수영강
민락동,수영강
수영동,수영강
망미2동,수영강
연산9동,수영강
안락2동,수영강
반여4동,수영강
