학교이름,주소,위도,경도,행정동명,행정동_코드
덕성여자고등학교,서울 종로구 율곡로3길 50,37.57799105,126.9829716,삼청동,11110540
덕수고등학교,서울 송파구 위례북로 10,37.48520405,127.1468731,위례동,11710647
덕원여자고등학교,서울 강서구 강서로45길 91-44,37.54943785,126.828448,발산1동,11500611
덕원예술고등학교,서울 강서구 강서로45길 91-44,37.54943785,126.828448,발산1동,11500611
덕일전자공업고등학교,서울 구로구 서해안로21길 5-12,37.4916801,126.839831,오류2동,11530780
도봉고등학교,서울 도봉구 도봉산길 27,37.6873666,127.0428041,도봉1동,11320521
도선고등학교,서울 성동구 마장로 156,37.5694946,127.0481528,용답동,11200790
독산고등학교,서울 금천구 문성로 64,37.4762486,126.9108405,독산3동,11545630
동국대학교 사범대학 부속고등학교,서울 동대문구 장안벚꽃로 201,37.5870827,127.0703453,휘경2동,11230730
동국대학교 사범대학 부속여자고등학교,서울 광진구 광나루로36길 47,37.5435491,127.0864008,구의1동,11215850
동덕여자고등학교,서울 서초구 효령로2길 123-5,37.4745335,126.9934452,방배3동,11650620
동명생활경영고등학교,서울 은평구 통일로 793,37.6410264,126.9159825,진관동,11380690
동명여자고등학교,서울 은평구 통일로 793,37.6410264,126.9159825,진관동,11380690
동북고등학교,서울 강동구 강동대로 305,37.5182952,127.1412259,둔촌1동,11740690
동성고등학교,서울 종로구 대학로 156,37.5850668,127.003081,혜화동,11110650
동양고등학교,서울 강서구 허준로 50,37.56887295,126.8475466,가양1동,11500603
동일여자고등학교,서울 금천구 탑골로10길 45,37.45199575,126.9166882,시흥2동,11545680
동작고등학교,서울 동작구 솔밭로 51,37.4820915,126.9651576,사당5동,11590651
둔촌고등학교,서울 강동구 명일로 140,37.5312042,127.1441557,둔촌2동,11740700
등촌고등학교,서울 강서구 공항대로39길 115,37.5613245,126.8445763,등촌3동,11500535
리라아트고등학교,서울 중구 소파로2길 24,37.5574448,126.9878648,필동,11140570
마포고등학교,서울 강서구 화곡로 403,37.5600786,126.8528498,등촌3동,11500535
