총반납대여,시설물개수,인구밀도,하천,자동차등록대수,자전거도로,지하철_총승객수,학교개수,영화관개수,대학교개수,강,행정동명
1.25,1.0227272727272727,0.8005536559407622,0.75,1.25,1.2003472222222222,0.7692132545018031,0.8088235294117647,0.875,0.75,0.75,가양1동
1.084129051978865,1.0227272727272727,0.762160050723489,0.75,1.1102621572668327,1.1525848765277777,1.0436913663643947,0.8970588235294118,0.875,0.75,1.25,여의동
0.9746983304464274,1.2045454545454546,0.8573345259391771,0.75,1.25,1.2003472222222222,0.8206082284657857,1.25,0.75,0.75,0.75,발산1동
0.8966008500604068,0.8409090909090909,0.9888079980072915,0.75,1.1102621572668327,1.1525848765277777,0.9062826774325509,0.9558823529411764,0.75,0.75,1.25,당산2동
0.8789992139852405,1.1590909090909092,0.7597031317225607,0.75,0.75,0.9271854575,1.1748295927638357,0.8088235294117647,1.25,1.25,0.75,종로1.2.3.4가동
0.8788318219531012,1.0075757575757576,0.7593521432938566,0.75,1.0771873191254655,1.25,0.9332355295363348,0.8088235294117647,0.875,0.75,1.25,상암동
0.8723999650660107,0.8560606060606061,0.75,0.75,1.25,1.2003472222222222,0.7894864577915063,0.9264705882352942,0.75,0.75,0.75,공항동
0.8661336807324493,1.143939393939394,0.9915026833631485,0.75,1.1102621572668327,1.1525848765277777,0.7711594731902252,0.8088235294117647,0.875,0.85,0.75,영등포동
0.8611392119474244,0.9772727272727273,0.7856083422023958,0.75,1.1944938839246457,1.1664737654166666,0.7781748202688338,0.8382352941176471,0.875,0.75,1.25,잠실6동
0.8604641853830367,0.946969696969697,0.9629933651864768,1.25,1.137756712599252,1.1008873456944444,0.7847536529392669,0.7794117647058824,1.0,0.75,0.75,목1동
0.8499294042299239,1.0378787878787878,1.045600190213084,0.75,1.25,1.2003472222222222,0.7636693596825024,1.0147058823529411,0.75,0.75,0.75,방화1동
0.8481299398844268,0.7954545454545455,0.7813738366431919,0.75,1.1944938839246457,1.1664737654166666,0.7576455859043657,0.8088235294117647,0.75,0.75,0.75,오륜동
0.8476932650179765,1.1136363636363638,0.9008231244763479,0.75,1.0771873191254655,1.25,1.25,0.7794117647058824,1.0,0.75,0.75,서교동
0.840209749494185,0.9621212121212122,0.965054006929191,0.75,1.1102621572668327,1.1525848765277777,0.7925038066277953,0.8382352941176471,0.75,0.75,0.75,문래동
0.8371311916857106,1.0378787878787878,0.8662224587305541,1.25,1.1944938839246457,1.1664737654166666,0.857959046503644,0.7794117647058824,1.0,0.75,0.75,문정2동
0.8346712566047074,0.8712121212121212,0.9821278956545368,0.75,1.009700821213836,1.1121527777777778,0.9637720075094602,0.8382352941176471,0.875,0.85,0.75,화양동
0.8346476033827747,0.8257575757575758,1.1688650619324743,0.75,1.009700821213836,1.1121527777777778,0.75,0.7794117647058824,0.75,0.75,0.75,자양1동
0.8328317637297856,0.8257575757575758,0.9772367020674351,0.75,1.1944938839246457,1.1664737654166666,0.75,0.8382352941176471,0.75,0.75,0.75,잠실3동
0.8273060071905796,0.9318181818181819,0.9726172414573946,1.25,1.137756712599252,1.1008873456944444,0.7580501745873729,0.9852941176470589,0.75,0.75,0.75,목5동
0.826598230011208,0.9772727272727273,0.8371583523923825,1.25,1.1777734205110049,0.7927083333333333,1.0149833349921469,0.75,1.0,0.75,0.75,가산동
0.8219549205979535,0.9621212121212122,0.9338386811892847,1.25,1.0771873191254655,1.25,0.7774446480383739,0.9852941176470589,1.0,0.75,0.75,성산2동
0.8211998369747165,1.0075757575757576,0.9719152645999865,0.75,1.049390020451969,1.0389384920833333,0.9037271114067306,0.8970588235294118,0.75,0.75,0.75,용신동
0.8193203155703702,0.9924242424242424,1.0748001630397863,0.75,1.25,1.2003472222222222,0.75,0.7794117647058824,0.75,0.75,0.75,우장산동
0.8167657676016361,0.9772727272727273,1.0666934625574602,0.75,1.161843762524655,0.9036458333333333,1.0007884513912075,0.8676470588235294,1.0,0.75,0.75,구로5동
0.8148716903684081,0.8106060606060607,1.0471060437942983,1.25,1.009700821213836,1.1121527777777778,0.8007610938400784,0.75,0.875,0.85,0.75,군자동
0.808512612625726,0.8863636363636365,1.0026324132152804,0.75,1.137756712599252,1.1008873456944444,0.7641711599917994,0.8970588235294118,0.75,0.75,0.75,신정6동
0.8002285265134423,0.8712121212121212,0.9961334661805665,1.25,1.161843762524655,0.9036458333333333,0.7526599131252467,0.8970588235294118,0.875,0.75,0.75,신도림동
0.7989530720076855,0.9318181818181819,0.9283587328185503,0.75,1.137756712599252,1.1008873456944444,0.7711106650827387,1.0735294117647058,0.75,0.75,0.75,신정3동
0.7987074423953072,0.8257575757575758,0.9806333642807001,0.75,1.009700821213836,1.1121527777777778,0.7737876077134612,0.8088235294117647,0.875,0.75,1.25,자양3동
0.7984727296545903,0.8560606060606061,0.9959070220330155,0.75,1.161843762524655,0.9036458333333333,0.8939643497049776,0.8382352941176471,0.75,0.75,0.75,구로3동
0.7978577458843394,0.7651515151515151,0.8120796630511085,1.25,0.9618574408589069,0.8920547386111111,0.7753840410950288,0.7794117647058824,0.875,0.75,1.25,성수1가1동
0.7962893553223389,0.9318181818181819,0.8071431806344965,0.75,0.8916582042513197,0.9470486111111112,1.0061405711747629,0.8382352941176471,1.0,0.75,1.25,한강로동
0.79543056141832,0.9621212121212122,0.9545356762754467,0.75,1.1421517981409797,1.2390046295833335,0.7663782648191824,1.1029411764705883,0.75,0.75,0.75,길동
