매장명,주소
엄궁초등학교,부산 사상구 엄궁로191번길 23
사상초등학교,부산 사상구 운산로 65
구학초등학교,부산 사상구 학감대로 49
서천초등학교,부산 사하구 감천로105번길 10
괴정초등학교,부산 사하구 낙동대로 152
사하초등학교,부산 사하구 낙동대로 266
을숙도초등학교,부산 사하구 낙동대로 581
승학초등학교,부산 사하구 낙동대로135번길 55
몰운대초등학교,부산 사하구 다대낙조2길 110
응봉초등학교,부산 사하구 다대낙조2길 26
중현초등학교,부산 사하구 다대낙조2길 8
다대초등학교,부산 사하구 다대로 499
신촌초등학교,부산 사하구 다대로135번길 30-21
당리초등학교,부산 사하구 다대로22번길 12
다송초등학교,부산 사하구 다대로381번길 17
다선초등학교,부산 사하구 다송로 57
신남초등학교,부산 사하구 비봉로 88
옥천초등학교,부산 사하구 사하로 134
구평초등학교,부산 사하구 사하로 9
사동초등학교,부산 사하구 승학로 129-2
감천초등학교,부산 사하구 원양로 368-2
보림초등학교,부산 사하구 장림로161번길 20
장림초등학교,부산 사하구 장림번영로103번길 10
효림초등학교,부산 사하구 장평로 106
사남초등학교,부산 사하구 장평로 390
신평초등학교,부산 사하구 장평로299번안길 19
낙동초등학교,부산 사하구 제석로 41
하남초등학교,부산 사하구 하신번영로 186
하단초등학교,부산 사하구 하신중앙로 321
부민초등학교,부산 서구 고운들로 12
토성초등학교,부산 서구 구덕로134번길 45
대신초등학교,부산 서구 대신로 63
동신초등학교,부산 서구 대영로85번길 81-19
화랑초등학교,부산 서구 대영로86번길 56
구덕초등학교,부산 서구 보수대로 312
남부민초등학교,부산 서구 천마로 153
부산영선알로이시오초등학교,부산 서구 천해로13번길 16-9
천마초등학교,부산 서구 천해로7번길 38
송도초등학교,부산 서구 충무대로 25
아미초등학교,부산 서구 해돋이로 241
민안초등학교,부산 수영구 감포로38번길 33
민락초등학교,부산 수영구 광남로257번길 12
수영초등학교,부산 수영구 광서로16번길 33
광안초등학교,부산 수영구 광안로35번길 42
광남초등학교,부산 수영구 광안해변로 115
남천초등학교,부산 수영구 남천서로 14
배산초등학교,부산 수영구 망미배산로48번길 85-15
망미초등학교,부산 수영구 수미로35번길 27
수미초등학교,부산 수영구 연수로310번길 91
호암초등학교,부산 수영구 호암로 57
연서초등학교,부산 연제구 거제천로270번길 30
연일초등학교,부산 연제구 고분로 126-4
연동초등학교,부산 연제구 고분로56번길 40
과정초등학교,부산 연제구 과정로164번길 37
연천초등학교,부산 연제구 과정로225번길 46
부산교육대학교 부설초등학교,부산 연제구 교대로 24
거학초등학교,부산 연제구 교대로24번길 36
연미초등학교,부산 연제구 금련로38번길 84
남문초등학교,부산 연제구 법원북로 23
연신초등학교,부산 연제구 신금로23번길 30
동명초등학교,부산 연제구 쌍미천로44번길 17
연산초등학교,부산 연제구 월드컵대로 41
창신초등학교,부산 연제구 종합운동장로12번길 15
연제초등학교,부산 연제구 중앙대로1065번길 14
토현초등학교,부산 연제구 토현로 48
거제초등학교,부산 연제구 해맞이로 39
영도초등학교,부산 영도구 꿈나무길 41
남항초등학교,부산 영도구 남항새싹길 55
대교초등학교,부산 영도구 봉래나루로246번길 19
신선초등학교,부산 영도구 산정길 17
상리초등학교,부산 영도구 상리로 38
중리초등학교,부산 영도구 와치로 286
대평초등학교,부산 영도구 절영로 82
청학초등학교,부산 영도구 청학로 49
봉학초등학교,부산 영도구 태종로 242
동삼초등학교,부산 영도구 태종로 610
청동초등학교,부산 영도구 태종로422번길 51
태종대초등학교,부산 영도구 태종로802번길 38
절영초등학교,부산 영도구 함지로 37
봉삼초등학교,부산 영도구 함지로79번길 39
봉래초등학교,부산 중구 대영로226번길 15
