매장명,주소
신정고등학교,부산 기장군 정관읍 정관3로 14
양운고등학교,부산 해운대구 양운로 176
연제고등학교,부산 연제구 쌍미천로30번길 31
영도여자고등학교,부산 영도구 중리북로21번길 42
영산고등학교,부산 해운대구 반송순환로 142-1
예문여자고등학교,부산 남구 동명로92번길 76
용인고등학교,부산 동래구 시실로107번길 37
이사벨고등학교,부산 연제구 중앙대로 1197
장안제일고등학교,부산 기장군 장안읍 좌천2길 43
정관고등학교,부산 기장군 정관읍 정관로 534
주례여자고등학교,부산 사상구 가야대로366번길 146
지산고등학교,부산 금정구 오륜대로 50
충렬고등학교,부산 동래구 명장로106번길 26
학산여자고등학교,부산 동래구 충렬사로51번길 62
한국조형예술고등학교,부산 남구 동명로169번길 38
한얼고등학교,부산 남구 고동골로69번가길 54
해강고등학교,부산 해운대구 해운대해변로 33
해동고등학교,부산 사하구 사하로141번나길 11-15
해운대고등학교,부산 해운대구 우동3로11번길 43
해운대공업고등학교,부산 해운대구 해운대로469번길 96
해운대관광고등학교,부산 해운대구 우동2로60번길 38
해운대여자고등학교,부산 해운대구 우동1로85번길 71
혜광고등학교,부산 중구 망양로259번길 5
혜화여자고등학교,부산 동래구 명장로99번길 23
화명고등학교,부산 북구 화명신도시로 169
예원여자고등학교,부산 금정구 회천로13번길 60
