facility_nm,mng_agency_nm,gugun,reference_date,lat,lng,instt_code,last_load_dttm
IFC부산 오슬로파크,부산광역시 남구청,부산광역시 남구,2023-01-16,129.0654779,35.14828501,,2023-07-01 5:30
KB손해보험부산빌딩,부산광역시 동구청,부산광역시 동구,2021-01-21,35.138303,129.064113,,2023-07-01 5:30
KNN타워,부산광역시 해운대구청,부산광역시 해운대구,2022-12-31,35.173952,129.18114,,2023-07-01 5:30
KORAIL부산지사 부산역,부산광역시 동구청,부산광역시 동구,2021-01-21,35.117137,129.043699,,2023-07-01 5:30
KR 단미래 어린이집,부산광역시 강서구청,강서구,2022-12-22,35.1121,128.87011,,2023-07-01 5:30
KT부산범일타워,부산광역시 동구청,부산광역시 동구,2021-01-21,35.137726,129.062509,,2023-07-01 5:30
MEGA 3POP 부산본점,,,,부산 부산진구 서전로10번길 61 3층,,,
NC 부산대점(백화점),부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.232074,129.083867,,2023-07-01 5:30
NC 부산대점(실내주차장),부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.232074,129.083867,,2023-07-01 5:30
OX PC 광안동점,,,,부산 수영구 광일로 22 2층,,,
OX PC 구서역점,,,,부산 금정구 중앙대로1929번길 11,,,
OX PC 용호동점,,,,부산 남구 용호로 64 지하1층,,,
OX PC방 양정점,,,,부산 부산진구 중앙대로 900 3층,,,
OX PC장산점,,,,부산 해운대구 재반로 213 3층,,,
ox화명본점,부산광역시 북구청,부산광역시 북구,2022-12-31,35.235824,129.010299,,2023-07-01 5:30
PAGODA어학원,부산광역시 부산진구청,부산진구,2023-01-11,35.1531178,129.0588504,,2023-07-01 5:30
PC COOK,,,,부산 남구 수영로 33,,,
Pc.Cook,,,,부산 남구 수영로 33,,,
PC쿠치나,,,,부산 부산진구 중앙대로 902 2층,,,
PC토랑,부산광역시 동구청,부산광역시 동구,2021-01-21,35.138929,129.061054,,2023-07-01 5:30
PC토랑,부산광역시 사상구청,부산광역시 사상구,2022-12-31,35.14113491,128.9885972,,2023-07-01 5:30
PC토랑 개금점,,,,부산 부산진구 복지로13번길 49 2층,,,
PC토랑 부산양정점,,,,부산 부산진구 양지로 6-1 4층,,,
REVEL PC방,,,,부산 수영구 수영로705번길 14,,,
SH TOWER,부산광역시 해운대구청,부산광역시 해운대구,2022-12-31,35.205697,129.124495,,2023-07-01 5:30
SK텔레콤 데이타센터,부산광역시 해운대구청,부산광역시 해운대구,2022-12-31,35.166919,129.169045,,2023-07-01 5:30
SK텔레콤㈜부암사옥  (지하1층),부산광역시 부산진구청,부산진구,2023-01-11,35.1649952,129.0507993,,2023-07-01 5:30
TOP PC SEASON 2,,,,부산 부산진구 새싹로 208,,,
W 스퀘어,부산광역시 남구청,부산광역시 남구,2023-01-16,129.1112149,35.1342266,,2023-07-01 5:30
W스퀘어,부산광역시 남구청,부산광역시 남구,2023-01-16,129.1112149,35.1342266,,2023-07-01 5:30
YBM서면어학원,부산광역시 부산진구청,부산진구,2023-01-11,35.1556623,129.0587605,,2023-07-01 5:30
YBM어학원,부산광역시 중구청,부산광역시 중구,2022-12-31,35.098853,129.035176,,2023-07-01 5:30
YMCA 어린이집,,,,부산 해운대구 아랫반송로1번길 15 반송 종합복지관,,,
가나병원,부산광역시 남구청,부산광역시 남구,2023-01-16,129.0974718,35.12239051,,2023-07-01 5:30
가나안요양병원,,,,"부산 수영구 수영로 563-1 지하1,1~10층",,,
가락타운상가시장,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.09992696,128.9584895,,2023-07-01 5:30
가람어린이집,부산광역시 서구청,부산광역시 서구,2022-12-31,35.10825151,129.0095784,,2023-07-01 5:30
가빈어린이집,부산광역시 북구청,부산광역시 북구,2022-12-31,35.21226482,129.0262186,,2023-07-01 5:30
가야교회,부산광역시 부산진구청,부산진구,2023-01-11,35.1597736,129.0581321,,2023-07-01 5:30
가야벽산상가,부산광역시 부산진구청,부산진구,2023-01-11,35.1475431,129.0251614,,2023-07-01 5:30
가야스파벨리24사우나 찜질 헬스,부산광역시 부산진구청,부산진구,2023-01-11,35.1489076,129.0304957,,2023-07-01 5:30
가야역,부산광역시 부산진구청,부산진구,2023-01-11,35.16263953,129.0505507,,2023-07-01 5:30
가족사랑요양병원,부산광역시 부산진구청,부산진구,2023-01-11,35.1815517,129.0468601,,2023-07-01 5:30
감로수요양병원,부산광역시 사상구청,부산광역시 사상구,2022-12-31,35.18166735,128.9924546,,2023-07-01 5:30
감전지하철역,부산광역시 사상구청,부산광역시 사상구,2022-12-31,35.15553546,128.9912671,,2023-07-01 5:30
감정초등학교 공영주차장,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.09685798,129.0110878,,2023-07-01 5:30
감천꿈나무어린이집,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.08961382,129.0052955,,2023-07-01 5:30
감천문화요양병원,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.08962784,128.9782736,,2023-07-01 5:30
감천참편한요양병원 ,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.10235296,128.9763857,,2023-07-01 5:30
감천파랑새어린이집,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.08996023,129.0004744,,2023-07-01 5:30
감천혜강어린이집,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.08481709,129.0065306,,2023-07-01 5:30
강동병원,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.07353126,128.9768312,,2023-07-01 5:30
강변어린이집,부산광역시 강서구청,강서구,2022-12-22,35.19837,128.92539,,2023-07-01 5:30
강서도서관,부산광역시 강서구청,강서구,2022-12-22,35.0961,128.85775,,2023-07-01 5:30
강서해수온천,부산광역시 강서구청,강서구,2022-12-22,35.11067,128.88546,,2023-07-01 5:30
개금길요양병원,,,,부산 부산진구 백양대로 252 1~7층,,,
개금역,부산광역시 부산진구청,부산진구,2023-01-11,35.16263953,129.0505507,,2023-07-01 5:30
개금천사어린이집,부산광역시 부산진구청,부산진구,2023-01-11,35.1500364,129.0178835,,2023-07-01 5:30
개원어린이집,부산광역시 부산진구청,부산진구,2023-01-11,35.1644943,129.0277604,,2023-07-01 5:30
갤러리PC,부산광역시 강서구청,강서구,2022-12-22,35.08731,128.90082,,2023-07-01 5:30
거제드림어린이집,부산광역시 연제구청,부산광역시 연제구,2022-12-31,35.18661422,129.0703486,,2023-07-01 5:30
경남.동서대학교 센텀산학캠퍼스,부산광역시 해운대구청,부산광역시 해운대구,2022-12-31,35.172169,129.174965,,2023-07-01 5:30
경동리인상가,부산광역시 서구청,부산광역시 서구,2022-12-31,35.09927166,129.024246,,2023-07-01 5:30
경희병원,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.10651664,128.9607167,,2023-07-01 5:30
경희요양병원,부산광역시 북구청,부산광역시 북구,2022-12-31,35.21266609,129.0163942,,2023-07-01 5:30
고신대학교복음병원,부산광역시 서구청,부산광역시 서구,2022-12-31,35.08107807,129.0145128,,2023-07-01 5:30
곰두리어린이집,부산광역시 연제구청,부산광역시 연제구,2022-12-31,35.19056184,129.0815454,,2023-07-01 5:30
공립구서어린이집,,,,부산 금정구 금강로 503 롯데캐슬골드 2단지내,,,
곽요양병원,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.09958407,128.9898982,,2023-07-01 5:30
관정빌딩,부산광역시 중구청,부산광역시 중구,2022-12-31,35.10926156,129.0387414,,2023-07-01 5:30
광덕자연어린이집,부산광역시 해운대구청,부산광역시 해운대구,2022-12-31,35.166816,129.143853,,2023-07-01 5:30
광복지하도상가,부산광역시 중구청,부산광역시 중구,2022-12-31,35.10201442,129.0313444,,2023-07-01 5:30
광안더힐요양병원,부산광역시 수영구청,부산광역시 수영구,2022-12-31,35.15271646,129.1158566,,2023-07-01 5:30
광안어린이집,부산광역시 수영구청,부산광역시 수영구,2022-12-31,35.16090919,129.1071219,,2023-07-01 5:30
광안역,부산광역시 수영구청,부산광역시 수영구,2022-12-31,35.15792416,129.1131729,,2023-07-01 5:30
광안자모병원,부산광역시 수영구청,부산광역시 수영구,2022-12-31,35.15533969,129.1119194,,2023-07-01 5:30
광안자모병원 산후조리원,부산광역시 수영구청,부산광역시 수영구,2022-12-31,35.15533969,129.1119194,,2023-07-01 5:30
광안정다운요양병원,,,,부산 수영구 광안해변로 292 3~6층,,,
광안참사랑요양병원,,,,부산 수영구 광안해변로 235,,,
광안해수월드,부산광역시 수영구청,부산광역시 수영구,2022-12-31,35.15587803,129.1335595,,2023-07-01 5:30
