매장명,위도,경도
다대수병원,35.09939255,128.9835344
부산데파트,35.099449,129.0362037
한솔탕,35.09951704,128.9567518
곽요양병원,35.09958407,128.9898982
BH효요양병원,35.09958485,129.020334
창선상가,35.0997055,129.0283209
산새소리어린이집,35.09970935,128.9575108
하남몬테소리어린이집,35.09986622,128.957052
뉴본산후조리원,35.09988705,128.9914265
한빛요양병원,35.09988705,128.9914265
가락타운상가시장,35.09992696,128.9584895
휘림한방병원,35.099974,129.036989
괴정시장종합상가 (괴정시장 정비사업조합),35.10007828,128.9944889
으뜸어린이집,35.10019306,129.0158686
삼성전기부산어린이집,35.10041,128.84195
진성어린이집,35.10046274,129.0036082
늘푸른노인전문요양센터,35.10051666,128.9926954
국제지하도상가,35.10065718,129.0277077
다대자연병원,35.10080887,128.9933351
동산병원 장례식장,35.10080887,128.9933351
부산대학교병원,35.10112888,129.0192443
신괴정요양병원,35.10149368,128.9778671
국제시장,35.10153748,129.0280698
㈜에디스산후조리원,35.10160307,128.9777149
부산영화체험박물관,35.1016888,129.0335888
광복지하도상가,35.10201442,129.0313444
남포지하도상가,35.10201442,129.0313444
금강스파,35.10217892,129.0247105
미래아이여성병원,35.10234218,128.9631027
감천참편한요양병원 ,35.10235296,128.9763857
선하요양병원,35.10238063,129.0203247
월드밸리,35.102804,129.026363
부민교회어린이집,35.10296808,129.019088
만세365병원,35.103,129.031
아이카페 PC방,35.10320321,129.0191091
샘물어린이집,35.10329179,128.9694866
동아대학교석당박물관,35.10374099,129.0194146
중앙나라요양병원,35.1038415,129.0358864
하단어린이집,35.10391279,128.9650956
풀잎어린이집,35.10395705,128.9764377
승학어린이집,35.10407889,128.9847644
보수종합상가,35.1041504,129.0218176
장덕한방병원,35.10417135,129.0202877
동주대학부설어린이집,35.10420501,128.9979833
평화노인요양원(평화노인건강센터와 통합),35.10423738,128.9896474
㈜한진중공업 R＆D센터 주차장,35.10469628,129.0371258
부산노인전문 제4병원,35.10503547,128.9689918
한웅레포츠,35.10541424,129.0210286
파크병원,35.10543098,129.0099324
교보생명빌딩,35.10564162,129.0372584
노틀담어린이집,35.10578162,129.0282438
성모희보어린이집,35.10586692,129.0309323
라파요양병원,35.10587267,128.9634843
미래아이산후조리원,35.10587267,128.9634843
큰사랑요양병원,35.10588993,128.9658428
부산맘아동병원,35.10628172,128.9698292
종달새어린이집,35.10649577,128.9746033
경희병원,35.10651664,128.9607167
청림요양병원,35.10660075,128.964875
삼성전자 사하빌딩 실내주차장,35.10663224,128.9677054
아트몰링 부산점,35.10681916,128.966874
아트몰링 부산점 실내주차장,35.10681916,128.966874
햇님어린이집,35.10690709,128.9727764
아트센터어린이집,35.10760051,128.976218
메리놀병원,35.10765224,129.0329841
연희어린이집,35.1081439,128.9601216
송산노인전문요양원,35.10820976,129.0384099
가람어린이집,35.10825151,129.0095784
푸르지오2차어린이집,35.10845673,129.0135889
관정빌딩,35.10926156,129.0387414
현대미술관,35.10927201,128.9427482
환희노인요양원,35.10986812,128.9767058
중앙도서관,35.10997532,129.0269254
마린센타,35.11011648,129.0389058
대신시장,35.1103293,129.0197017
대청어린이집,35.1103331,129.0293761
심당요양병원,35.11058443,129.0368934
강서해수온천,35.11067,128.88546
을숙도노인요양원,35.11161,128.92351
영주어린이집,35.11186392,129.0295599
삼육부산병원,35.11206562,129.0109763
KR 단미래 어린이집,35.1121,128.87011
이의용밝은길요양병원,35.11226062,129.0197122
실버웰요양센터,35.11263376,129.008502
태영노블리안,35.112983,129.038221
대한통운빌딩(예광빌딩),35.113045,129.039126
부산삼성화재,35.113788,129.039447
중앙U병원,35.11393784,128.9626579
한국교직원공제회부산회관,35.114396,129.039815
척시원병원,35.114483,129.038851
인창서구그린빌노인요양원,35.11515064,129.0165387
발리아쿠아랜드,35.11554,129.038024
부산초량엠디엠타워,35.116706,129.041042
구덕공영주차장,35.11750257,129.0142228
새부산병원,35.118348,129.039226
현대해상 부산사옥,35.118378,129.041913
에이아이(AI)PC방,35.120256,129.039839
동아대학교병원,35.12050997,129.0187498
동아대학교병원장례식장,35.12050997,129.0187498
동아대학교 대신요양병원,35.12099471,129.017549
부산항 국제여객터미널,35.121224,129.04874
부산항 국제여객터미널,35.121224,129.04874
㈜아모레퍼시픽,35.121343,129.043482
인창요양병원,35.121877,129.042858
인창노인의료센터,35.122455,129.043046
세일병원,35.12491,129.044591
묘음예능어린이집,35.125042,129.035593
부산YMCA,35.125332,129.044844
한빛어린이집,35.12553827,128.969887
부산메리츠타워,35.125973,129.045288
부산시설공단 서면몰,35.1270869,129.0477891
롯데쇼핑(주)롯데마트사상점,35.12759834,128.9683583
안나노인건강센터,35.12772837,129.004781
늘행복요양병원,35.12810385,128.9736904
DGB생명빌딩,35.128759,129.047611
엄궁지하공영주차장,35.12918626,128.9743987
동구청,35.129396,129.045434
봉생병원,35.130996,129.050396
노인건강센터,35.13120987,128.9963834
재단법인 금성재단 강림요양병원,35.13127964,128.9728208
수정삼성어린이집,35.131393,129.045004
의료법인 강혜의료재단 사랑의요양병원,35.13164809,128.9728013
의료법인 길정의료재단 대남병원,35.13201442,128.9961328
제일나라요양병원,35.13227,129.051881
부산시립정신병원,35.13290944,128.9950514
의료법인 은성의료재단 좋은부산요양병원,35.13373016,128.9963741
