시설물개수,인구밀도,하천,자동차등록대수,자전거도로,지하철_총승객수,학교개수,영화관개수,대학교개수,강,서울클러스터,행정동명,0,1,2,3
0.18181818181818185,0.7583099544647537,0.0,0.35860030237567764,0.06532818579537739,0.2619936191877777,0.3571428571428571,0.0,0.5,0.0,0,거제1동,0.6867487878512712,1.2263391405561967,1.0011621558691097,1.3100153325793291
0.16666666666666669,0.16280756495752194,0.0,0.15486929081407266,0.028927814850450907,0.07126662214045504,0.14285714285714285,0.14285714285714285,0.0,0.0,0,거제2동,0.5348947525371979,1.1125419708458573,0.9919895932718358,1.1608069826072454
0.015151515151515154,0.3680183472975595,0.0,0.11498869362858576,0.02180239726312661,0.0,0.0,0.0,0.0,0.0,0,거제3동,0.5637020162592853,1.3193545797278703,1.1124752949140189,1.2121814173530179
0.045454545454545456,0.2655022016076434,0.0,0.11837527548286687,0.022407473693863637,0.0,0.2857142857142857,0.0,0.0,0.0,0,거제4동,0.5450964314809478,1.2952094030979957,1.0370626032436796,1.1914359471591536
0.10606060606060606,0.4580866624679494,0.0,0.20310520003237173,0.03754606580814244,0.0,0.2857142857142857,0.0,0.0,0.0,0,연산1동,0.437331588745727,1.282255234699483,0.9430360139985179,1.1672562761965137
0.10606060606060606,0.32090690468460825,0.0,0.2524394600700201,0.0463605578099861,0.0,0.0,0.0,0.0,0.0,0,연산2동,0.4836090694980429,1.2383475783166444,0.9917277567958741,1.1557032326556622
0.0,0.43719632749435416,0.0,0.13115014217991652,0.024689943526172427,0.060012849814142614,0.2857142857142857,0.0,0.0,0.0,0,연산3동,0.5082103968716377,1.309487441893668,1.038372700659815,1.2000364519820943
0.42424242424242425,0.4066690574413757,0.0,0.19491987090244547,0.036083603058122735,0.0,0.0,0.0,0.0,0.0,0,연산4동,0.513588576181241,1.169224528888846,0.9319126898266569,1.1805697029797466
0.19696969696969696,0.7677178639708183,0.0,0.20794317411365265,0.038410460744071145,0.5416096009823566,0.07142857142857142,0.0,0.0,0.0,0,연산5동,0.6843984512425193,1.1472519668918797,1.1129217267465468,1.31231319735508
0.045454545454545456,0.3240002345580373,0.0,0.1997839962136383,0.03695267039035301,0.04957674936128372,0.21428571428571427,0.0,0.0,0.0,0,연산6동,0.469578795988628,1.2465853505352609,0.9852832007023347,1.1588835278219345
0.060606060606060615,0.4619903049412379,0.0,0.1668857724190807,0.031074784923690056,0.0,0.0,0.0,0.0,0.0,0,연산8동,0.5101197323708297,1.305455814489363,1.0595519102802693,1.196971514482388
0.24242424242424246,0.4907179064862122,1.0,0.4277964072901788,0.07769136935759112,0.0,0.5714285714285714,0.0,0.5,0.0,0,연산9동,0.9920086344086531,1.4645346940526756,1.1199696727238564,1.4663774267047076
0.13636363636363635,0.4042520364306984,0.0,0.17408544063512016,0.07131388752577482,0.1199782497364494,0.0,0.0,0.0,0.0,0,괴정1동,0.4644789674992012,1.1802664628389417,0.9980501750614482,1.1604767865673629
0.030303030303030307,0.35381212473572304,0.0,0.14236760920742525,0.05894254247272121,0.05477898295710122,0.14285714285714285,0.0,0.0,0.0,0,괴정2동,0.4854844407762151,1.257769126055574,1.0248530389266395,1.17002959623581
0.18181818181818185,0.1468424945869455,0.0,0.1079368060359256,0.04551301945898365,0.0,0.0,0.0,0.5,0.0,0,괴정3동,0.7633973842664477,1.2215963983439302,1.1592472046884115,1.283526531726612
0.07575757575757576,0.4091967267717356,0.0,0.13867716971163913,0.057503109242510175,0.05391673694283223,0.14285714285714285,0.0,0.0,0.0,0,괴정4동,0.4608654788295999,1.2494096919769333,1.0042967410870016,1.168139749712449
0.3181818181818182,0.15059523021326535,0.0,0.23645386828391154,0.09564030912965782,0.08644891000648723,0.5,0.0,0.0,0.0,0,당리동,0.5682705389831291,1.141446496727074,0.8438775473074537,1.164124779569599
0.18181818181818185,0.07681715875221308,0.0,0.2049355200799808,0.08334677127763741,0.2482300351584527,0.0,0.0,0.0,0.0,0,하단1동,0.6073090698327589,1.0547097114618176,1.0272311652981434,1.1693887431524734
0.3636363636363637,0.19376010630660245,0.0,0.2413112846112556,0.09753491449590028,0.0,0.2857142857142857,0.14285714285714285,0.5,0.0,0,하단2동,0.6713214137661839,1.0673971727225735,0.9250964262667877,1.2219546412510258
0.060606060606060615,0.2295041686987728,0.0,0.14903034864052506,0.06154130300498507,0.05639491538462092,0.21428571428571427,0.0,0.0,0.0,0,신평1동,0.5108714559551237,1.2276301262289282,1.0041489231746699,1.161327818515596
0.13636363636363635,0.15464411950293816,0.0,0.16315376037562648,0.06705005287364556,0.08697373456770154,0.07142857142857142,0.0,0.0,1.0,3,신평2동,1.1372517319766584,1.3627343242113716,1.4230603761544505,0.5838655949974086
0.13636363636363635,0.09489982222967076,0.0,0.09253670172627386,0.03950630348595572,0.0,0.14285714285714285,0.0,0.0,1.0,3,장림1동,1.1735620586948856,1.4273919810719498,1.461859548986244,0.6540410938766578
0.2878787878787879,0.2719990455381941,0.0,0.2523427065480183,0.1018376527374493,0.08769602736564673,0.2857142857142857,0.0,0.0,0.0,0,장림2동,0.4121979424811553,1.1018560189615152,0.8118116369316926,1.1115441734607288
0.5151515151515151,0.17246884997390996,0.0,0.35971454775702505,0.14371737903202314,0.11229328442639433,0.3571428571428571,0.0,0.0,1.0,3,다대1동,1.1344073314653353,1.2408150918124572,1.2232407557944336,0.5276326422307938
